political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party code,candidate_name,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Lieutenant Governor,DEM,Carla Brailey,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Lieutenant Governor,DEM,Mike Collier,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Lieutenant Governor,DEM,Michelle Beckley,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Attorney General,DEM,Mike Fields,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Attorney General,DEM,Lee Merritt,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Attorney General,DEM,"S. ""TBone"" Raynor",0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Attorney General,DEM,Rochelle Mercedes Garza,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Attorney General,DEM,Joe Jaworski,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Comptroller of Public Accounts,DEM,Tim Mahoney,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Commissioner of the General Land Office,DEM,Jay Kleberg,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Commissioner of the General Land Office,DEM,Michael Lange,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Commissioner of the General Land Office,DEM,Jinny Suh,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Commissioner of Agriculture,DEM,Ed Ireson,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Commissioner of Agriculture,DEM,Susan Hays,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,Railroad Commissioner,DEM,Luke Warford,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,"State Senator, District No. 24",DEM,Jeremy Kohlwes,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,414,396,County Chairman,DEM,Gene Whittle,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Governor,DEM,Rich Wakeland,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Governor,DEM,Inocencio (Inno) Barrientez,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Governor,DEM,Joy Diaz,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Governor,DEM,Michael Cooper,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Governor,DEM,Beto O'Rourke,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Lieutenant Governor,DEM,Carla Brailey,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Lieutenant Governor,DEM,Mike Collier,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Lieutenant Governor,DEM,Michelle Beckley,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Attorney General,DEM,Mike Fields,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Attorney General,DEM,Lee Merritt,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Attorney General,DEM,"S. ""TBone"" Raynor",0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Attorney General,DEM,Rochelle Mercedes Garza,1,1,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Attorney General,DEM,Joe Jaworski,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Comptroller of Public Accounts,DEM,Tim Mahoney,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Comptroller of Public Accounts,DEM,Angel Luis Vega,1,0,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,2,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Commissioner of the General Land Office,DEM,Jay Kleberg,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Commissioner of the General Land Office,DEM,Michael Lange,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Commissioner of the General Land Office,DEM,Sandragrace Martinez,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Commissioner of the General Land Office,DEM,Jinny Suh,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Commissioner of Agriculture,DEM,Ed Ireson,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Commissioner of Agriculture,DEM,Susan Hays,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,Railroad Commissioner,DEM,Luke Warford,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,"State Senator, District No. 24",DEM,Jeremy Kohlwes,0,0,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,415,259,County Chairman,DEM,Gene Whittle,1,2,0,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Governor,DEM,Rich Wakeland,2,0,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Governor,DEM,Inocencio (Inno) Barrientez,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Governor,DEM,Joy Diaz,2,1,1,1
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Governor,DEM,Michael Cooper,0,1,0,0
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Governor,DEM,Beto O'Rourke,66,55,7,59
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Lieutenant Governor,DEM,Carla Brailey,19,22,2,17
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Lieutenant Governor,DEM,Mike Collier,23,11,6,17
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Lieutenant Governor,DEM,Michelle Beckley,28,20,1,27
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Attorney General,DEM,Mike Fields,16,12,5,11
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Attorney General,DEM,Lee Merritt,15,15,0,15
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Attorney General,DEM,"S. ""TBone"" Raynor",7,7,0,7
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Attorney General,DEM,Rochelle Mercedes Garza,25,14,3,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Attorney General,DEM,Joe Jaworski,6,5,1,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Comptroller of Public Accounts,DEM,Tim Mahoney,19,5,7,12
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Comptroller of Public Accounts,DEM,Angel Luis Vega,19,29,1,18
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Comptroller of Public Accounts,DEM,Janet T. Dudding,29,17,1,28
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Commissioner of the General Land Office,DEM,Jay Kleberg,8,5,3,5
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Commissioner of the General Land Office,DEM,Michael Lange,14,13,4,10
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Commissioner of the General Land Office,DEM,Sandragrace Martinez,22,22,0,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Commissioner of the General Land Office,DEM,Jinny Suh,24,10,2,22
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Commissioner of Agriculture,DEM,Ed Ireson,19,3,6,13
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Commissioner of Agriculture,DEM,Susan Hays,48,46,3,45
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,Railroad Commissioner,DEM,Luke Warford,65,48,9,56
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"Justice, Supreme Court, Place 3",DEM,Erin A Nowell,66,49,9,57
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"Justice, Supreme Court, Place 5",DEM,Amanda Reichek,66,49,9,57
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"Justice, Supreme Court, Place 9",DEM,Julia Maldonado,66,48,9,57
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"Judge, Court of Criminal Appeals, Place 5",DEM,Dana Huffman,66,47,9,57
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"Judge, Court of Criminal Appeals, Place 6",DEM,Robert Johnson,63,47,9,54
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"Member, State Board of Education, District No. 14",DEM,Tracy Fisher,66,48,9,57
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"State Senator, District No. 24",DEM,Kathy Jones-Hospod,51,41,4,47
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,"State Senator, District No. 24",DEM,Jeremy Kohlwes,18,8,5,13
Coryell County Democratic Party,3/1/2022,Primary Election,0,0,416,4271,County Chairman,DEM,Gene Whittle,62,48,9,53
