#FormatVersion 1,,,
#Precinct,Contest Title,Choice Name,Total Votes
6,Attorney General,Ken Paxton,219
6,Attorney General,George P. Bush,172
6,Comptroller of Public Accounts,Glenn Hegar,351
6,Comptroller of Public Accounts,Mark V. Goloby,52
6,Commissioner of the General Land Office,Ben Armenta,25
6,Commissioner of the General Land Office,Weston Martinez,17
6,Commissioner of the General Land Office,Victor Avila,23
6,Commissioner of the General Land Office,Don W. Minton,41
6,Commissioner of the General Land Office,Dawn Buckingham,125
6,Commissioner of the General Land Office,Jon Spiers,25
6,Commissioner of the General Land Office,Rufus Lopez,8
6,Commissioner of the General Land Office,Tim Westley,87
6,Commissioner of Agriculture,Carey A. Counsil,23
6,Commissioner of Agriculture,James White,134
6,Commissioner of Agriculture,Sid Miller,263
6,Railroad Commissioner,"Marvin ""Sarge"" Summers",76
6,Railroad Commissioner,Wayne Christian,158
6,Railroad Commissioner,Dawayne Tipton,49
6,Railroad Commissioner,Tom Slocum Jr,49
6,Railroad Commissioner,Sarah Stogner,44
6,"Justice, Supreme Court, Place 3",Debra Lehrmann,388
6,"Justice, Supreme Court, Place 5",Rebeca Huddle,382
6,"Justice, Supreme Court, Place 9",Evan Young,211
6,"Justice, Supreme Court, Place 9",David J. Schenck,161
6,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,380
6,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,163
6,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,199
6,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",370
6,"Member, State Board of Education, District No. 14",Sue Melton-Malone,194
6,"Member, State Board of Education, District No. 14",Evelyn Brooks,169
6,"State Senator, District No. 30",Drew Springer,446
6,"State Representative,  District No. 68",David Spiller,456
6,"State Representative,  District No. 68",Craig Carter,32
6,"State Representative,  District No. 68",Gary W. Franklin,3
6,"State Representative,  District No. 68",Mark Middleton,19
6,"Justice, 2nd Court of Appeals District, Place No. 3",Elizabeth Kerr,383
6,"District Judge, 271st Judicial District",Brock R. Smith,414
6,"District Attorney, 271st Judicial District Unexpired Term",James M. Stainton,403
6,County Judge,Michael Moore,222
6,County Judge,Keith Umphress,292
6,District Clerk,Melanie Berry,202
6,District Clerk,Tracie Pippin,307
6,County Clerk,Vanessa James,458
6,County Treasurer,Brad Campsey,459
6,"County Commissioner, Precinct No. 4",Denese Rogers,187
6,"County Commissioner, Precinct No. 4",Terry Ward,313
6,Justice of the Peace,Stacy Spurlock,161
6,Justice of the Peace,Jessica Bailey,340
6,County Chairman,John Berry,427
6,Proposition 1,YES,463
6,Proposition 1,NO,36
6,Proposition 2,YES,359
6,Proposition 2,NO,114
6,Proposition 3,YES,446
6,Proposition 3,NO,52
6,Proposition 4,YES,453
6,Proposition 4,NO,37
6,Proposition 5,YES,425
6,Proposition 5,NO,61
6,Proposition 6,YES,395
6,Proposition 6,NO,66
6,Proposition 7,YES,476
6,Proposition 7,NO,11
6,Proposition 8,YES,467
6,Proposition 8,NO,25
6,Proposition 9,YES,408
6,Proposition 9,NO,82
6,Proposition 10,YES,462
6,Proposition 10,NO,24
