#FormatVersion 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Precinct,Precinct ID,Precinct Reporting,Registered Voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
101,7,Reporting         ,2496,824,79,0,36.18,Comptroller of Public Accounts,4,REP,Mark V. Goloby,2,REP,165,0,118,0,4,0,2,0,90,0,67,0,71,0,49,0
101,7,Reporting         ,2496,824,79,0,36.18,Comptroller of Public Accounts,4,REP,Glenn Hegar,1,REP,541,0,118,0,22,0,2,0,345,0,67,0,174,0,49,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Rufus Lopez,5,REP,32,0,173,0,4,0,4,0,21,0,110,0,7,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Jon Spiers,3,REP,106,0,173,0,0,0,4,0,72,0,110,0,34,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Don W. Minton,8,REP,58,0,173,0,4,0,4,0,29,0,110,0,25,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Tim Westley,4,REP,90,0,173,0,2,0,4,0,50,0,110,0,38,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Ben Armenta,2,REP,10,0,173,0,0,0,4,0,8,0,110,0,2,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Victor Avila,7,REP,36,0,173,0,0,0,4,0,17,0,110,0,19,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Weston Martinez,6,REP,21,0,173,0,1,0,4,0,6,0,110,0,14,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of the General Land Office,47,REP,Dawn Buckingham,1,REP,298,0,173,0,13,0,4,0,189,0,110,0,96,0,59,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of Agriculture,9,REP,Carey A. Counsil,2,REP,71,0,123,0,0,0,3,0,42,0,75,0,29,0,45,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of Agriculture,9,REP,James White,3,REP,224,0,123,0,10,0,3,0,133,0,75,0,81,0,45,0
101,7,Reporting         ,2496,824,79,0,36.18,Commissioner of Agriculture,9,REP,Sid Miller,1,REP,406,0,123,0,15,0,3,0,252,0,75,0,139,0,45,0
101,7,Reporting         ,2496,824,79,0,36.18,Railroad Commissioner,10,REP,Dawayne Tipton,1,REP,79,0,160,0,2,0,7,0,46,0,103,0,31,0,50,0
101,7,Reporting         ,2496,824,79,0,36.18,Railroad Commissioner,10,REP,"Marvin ""Sarge"" Summers",5,REP,115,0,160,0,7,0,7,0,68,0,103,0,40,0,50,0
101,7,Reporting         ,2496,824,79,0,36.18,Railroad Commissioner,10,REP,Tom Slocum Jr,4,REP,195,0,160,0,6,0,7,0,124,0,103,0,65,0,50,0
101,7,Reporting         ,2496,824,79,0,36.18,Railroad Commissioner,10,REP,Wayne Christian,2,REP,141,0,160,0,3,0,7,0,85,0,103,0,53,0,50,0
101,7,Reporting         ,2496,824,79,0,36.18,Railroad Commissioner,10,REP,Sarah Stogner,3,REP,134,0,160,0,3,0,7,0,76,0,103,0,55,0,50,0
101,7,Reporting         ,2496,824,79,0,36.18,"Justice, Supreme Court, Place 3",5,REP,Debra Lehrmann,1,REP,649,0,175,0,23,0,5,0,398,0,104,0,228,0,66,0
101,7,Reporting         ,2496,824,79,0,36.18,"Justice, Supreme Court, Place 5",16,REP,Rebeca Huddle,1,REP,630,0,194,0,24,0,4,0,386,0,116,0,220,0,74,0
101,7,Reporting         ,2496,824,79,0,36.18,"Justice, Supreme Court, Place 9",26,REP,Evan Young,2,REP,344,0,196,0,16,0,6,0,205,0,116,0,123,0,74,0
101,7,Reporting         ,2496,824,79,0,36.18,"Justice, Supreme Court, Place 9",26,REP,David J. Schenck,1,REP,284,0,196,0,6,0,6,0,181,0,116,0,97,0,74,0
101,7,Reporting         ,2496,824,79,0,36.18,"Judge, Court of Criminal Appeals, Place 2",51,REP,Mary Lou Keel,1,REP,619,0,205,0,24,0,4,0,380,0,122,0,215,0,79,0
101,7,Reporting         ,2496,824,79,0,36.18,"Judge, Court of Criminal Appeals, Place 5",32,REP,Scott Walker,2,REP,390,0,190,0,17,0,5,0,241,0,117,0,132,0,68,0
101,7,Reporting         ,2496,824,79,0,36.18,"Judge, Court of Criminal Appeals, Place 5",32,REP,Clint Morgan,1,REP,244,0,190,0,6,0,5,0,144,0,117,0,94,0,68,0
101,7,Reporting         ,2496,824,79,0,36.18,"Judge, Court of Criminal Appeals, Place 6",13,REP,"Jesse F. McClure, III",1,REP,614,0,210,0,24,0,4,0,377,0,125,0,213,0,81,0
101,7,Reporting         ,2496,824,79,0,36.18,"Member, State Board of Education, District 10",20,REP,Tom Maynard,1,REP,617,0,207,0,24,0,4,0,377,0,125,0,216,0,78,0
101,7,Reporting         ,2496,824,79,0,36.18,"State Senator, District 5",28,REP,Charles Schwertner,1,REP,683,0,141,0,26,0,2,0,421,0,81,0,236,0,58,0
101,7,Reporting         ,2496,824,79,0,36.18,"State Representative, District 17",22,REP,Trey Rutledge,4,REP,128,0,85,0,1,0,0,0,78,0,49,0,49,0,36,0
101,7,Reporting         ,2496,824,79,0,36.18,"State Representative, District 17",22,REP,Jen Bezner,1,REP,64,0,85,0,0,0,0,0,42,0,49,0,22,0,36,0
101,7,Reporting         ,2496,824,79,0,36.18,"State Representative, District 17",22,REP,Stan Gerdes,5,REP,252,0,85,0,10,0,0,0,161,0,49,0,81,0,36,0
101,7,Reporting         ,2496,824,79,0,36.18,"State Representative, District 17",22,REP,Tom Glass,2,REP,189,0,85,0,6,0,0,0,103,0,49,0,80,0,36,0
101,7,Reporting         ,2496,824,79,0,36.18,"State Representative, District 17",22,REP,Paul Pape,3,REP,106,0,85,0,11,0,0,0,69,0,49,0,26,0,36,0
101,7,Reporting         ,2496,824,79,0,36.18,"Justice, 3rd Court of Appeals District, Place 4",43,REP,Lesli R. Fitzpatrick,1,REP,614,0,210,0,22,0,6,0,377,0,125,0,215,0,79,0
101,7,Reporting         ,2496,824,79,0,36.18,County Judge,53,REP,Steve Young,1,REP,365,0,12,0,13,0,0,0,238,0,6,0,114,0,6,0
101,7,Reporting         ,2496,824,79,0,36.18,County Judge,53,REP,Bill Whitmire,2,REP,447,0,12,0,15,0,0,0,258,0,6,0,174,0,6,0
101,7,Reporting         ,2496,824,79,0,36.18,District Clerk,31,REP,Karen Berry,1,REP,672,0,152,0,24,0,4,0,417,0,85,0,231,0,63,0
101,7,Reporting         ,2496,824,79,0,36.18,County Clerk,42,REP,Jodi Morgan,1,REP,708,0,116,0,26,0,2,0,438,0,64,0,244,0,50,0
101,7,Reporting         ,2496,824,79,0,36.18,"Sheriff, Unexpired Term",18,REP,Mike Clore,1,REP,702,0,122,0,26,0,2,0,435,0,67,0,241,0,53,0
101,7,Reporting         ,2496,824,79,0,36.18,County Treasurer,52,REP,Linda Acosta,1,REP,698,0,126,0,26,0,2,0,429,0,73,0,243,0,51,0
101,7,Reporting         ,2496,824,79,0,36.18,"Justice of the Peace, Precinct 1",8,REP,Greg Hoelscher,1,REP,699,0,125,0,23,0,5,0,432,0,70,0,244,0,50,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 1,50,REP,Yes,2,,748,0,28,0,27,0,1,0,459,0,12,0,262,0,15,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 1,50,REP,No,1,,48,0,28,0,0,0,1,0,31,0,12,0,17,0,15,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 2,2,REP,Yes,1,,577,0,53,0,21,0,1,0,352,0,28,0,204,0,24,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 2,2,REP,No,2,,194,0,53,0,6,0,1,0,122,0,28,0,66,0,24,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 3,15,REP,Yes,1,,704,0,28,0,25,0,0,0,424,0,15,0,255,0,13,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 3,15,REP,No,2,,92,0,28,0,3,0,0,0,63,0,15,0,26,0,13,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 4,35,REP,Yes,2,,707,1,47,0,27,1,1,0,431,0,28,0,249,0,18,0
101,7,Reporting         ,2496,824,79,0,36.18,Proposition 4,35,REP,No,1,,71,1,47,0,1,1,1,0,43,0,28,0,27,0,18,0
