,,,,,#FormatVersion 1,,,,,,,
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Kandy Kaye Horn,9,,7,2
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Allen B. West,64,,39,25
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Paul Belew,3,,3,0
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Greg Abbott,382,,249,133
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Governor,Chad Prather,17,,10,7
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Lieutenant Governor,Aaron Sorrells,28,,16,12
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Lieutenant Governor,Zach Vance,20,,15,5
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Lieutenant Governor,Todd M. Bullis,15,,6,9
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Lieutenant Governor,Daniel Miller,36,,26,10
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Lieutenant Governor,Trayce Bradford,27,,20,7
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Lieutenant Governor,Dan Patrick,413,,264,149
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Attorney General,George P. Bush,116,,67,49
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Attorney General,Eva Guzman,91,,61,30
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Attorney General,Ken Paxton,257,,169,88
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Attorney General,Louie Gohmert,89,,57,32
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Comptroller of Public Accounts,Glenn Hegar,403,,248,155
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Comptroller of Public Accounts,Mark V. Goloby,101,,72,29
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Tim Westley,77,,45,32
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Jon Spiers,46,,27,19
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Dawn Buckingham,249,,162,87
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Victor Avila,31,,12,19
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Don W. Minton,41,,33,8
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Rufus Lopez,11,,7,4
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Ben Armenta,15,,10,5
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of the General Land Office,Weston Martinez,25,,16,9
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of Agriculture,James White,187,,120,67
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of Agriculture,Carey A. Counsil,62,,43,19
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Commissioner of Agriculture,Sid Miller,256,,162,94
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Railroad Commissioner,"Marvin ""Sarge"" Summers",95,,58,37
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Railroad Commissioner,Dawayne Tipton,58,,40,18
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Railroad Commissioner,Wayne Christian,188,,117,71
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Railroad Commissioner,Tom Slocum Jr,52,,31,21
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Railroad Commissioner,Sarah Stogner,94,,70,24
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Justice, Supreme Court, Place 3",Debra Lehrmann,477,,316,161
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Justice, Supreme Court, Place 5",Rebeca Huddle,466,,309,157
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Justice, Supreme Court, Place 9",David J. Schenck,246,,160,86
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Justice, Supreme Court, Place 9",Evan Young,228,,149,79
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Judge, Court of Criminal Appeals, Place 2",Mary Lou Keel,462,,307,155
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,293,,196,97
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Judge, Court of Criminal Appeals, Place 5",Clint Morgan,179,,112,67
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Judge, Court of Criminal Appeals, Place 6","Jesse F. McClure, III",459,,304,155
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Member, State Board of Education, District No. 1","Michael ""Travis"" Stevens",303,,191,112
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Member, State Board of Education, District No. 1",Lani Popp,175,,118,57
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"State Senator, District No. 24",Lamar Lewis,166,,108,58
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"State Senator, District No. 24",Pete Flores,240,,152,88
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"State Senator, District No. 24",Raul Reyes,113,,77,36
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"State Representative,  District No. 53","Wesley ""Wes"" Virdell",223,,139,84
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"State Representative,  District No. 53",Andrew S. Murr,292,,200,92
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Justice, 4th Court of Appeals District, Place No. 6",Todd McCray,462,,308,154
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Justice, 4th Court of Appeals District, Place No. 7 Unexpired Term",Lori I. Valenzuela,459,,308,151
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"District Judge, 198th Judicial District","M. Patrick ""Pat"" Maguire",463,,309,154
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,County Judge,Richard A. Evans,256,,168,88
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,County Judge,Susan Junker,252,,159,93
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,County Judge,Dennis Alonzo Fitzgerald,30,,20,10
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,District Clerk,Tammy Kneuper,477,,318,159
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,County Clerk,Tandie Mansfield,473,,316,157
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,County Treasurer,Beverly Schmidt,471,,314,157
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"County Commissioner, Precinct No. 2",David Speicher,261,,167,94
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"County Commissioner, Precinct No. 2",Greg Grothues,252,,169,83
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,"Justice of the Peace, Precinct No. 2",Gina Grothues,479,,316,163
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,County Chairman,Conrad (Butch) Striegl,459,,303,156
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Proposition 1,YES,522,,334,188
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Proposition 1,NO,33,,22,11
Bandera County,1-Mar-22,Republican Primary ,17,2,203,2386,Proposition 2,YES,432,,272,160
