"Box 101" ,50 ,"Railroad Commissioner" ,40 ,"Katija Gruene" ,"GRN" ,"EV Mail" ,1 ,
"Box 101" ,50 ,"Railroad Commissioner" ,40 ,"Katija Gruene" ,"GRN" ,"Provisional" ,0 ,
"Box 101" ,50 ,"Railroad Commissioner" ,40 ,"Katija Gruene" ,"GRN" ,"Total" ,26 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,10 ,"Nathan Hecht" ,"REP" ,"Election Day" ,152 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,10 ,"Nathan Hecht" ,"REP" ,"Early Voting" ,840 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,10 ,"Nathan Hecht" ,"REP" ,"EV Mail" ,60 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,10 ,"Nathan Hecht" ,"REP" ,"Provisional" ,0 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,10 ,"Nathan Hecht" ,"REP" ,"Total" ,1052 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,20 ,"Amy Clark Meachum" ,"DEM" ,"Election Day" ,65 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,20 ,"Amy Clark Meachum" ,"DEM" ,"Early Voting" ,443 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,20 ,"Amy Clark Meachum" ,"DEM" ,"EV Mail" ,113 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,20 ,"Amy Clark Meachum" ,"DEM" ,"Provisional" ,0 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,20 ,"Amy Clark Meachum" ,"DEM" ,"Total" ,621 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,30 ,"Mark Ash" ,"LIB" ,"Election Day" ,8 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,30 ,"Mark Ash" ,"LIB" ,"Early Voting" ,17 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,30 ,"Mark Ash" ,"LIB" ,"EV Mail" ,1 ,
"Box 101" ,60 ,"Chief Justice, Supreme Court" ,30 ,"Mark Ash" ,"LIB" ,"Provisional" ,0 ,
