political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,25 - BS5,2107,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,7,3
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,25 - BS5,2107,Railroad Commissioner,Chrysta Castañeda,DEM,10,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,25 - BS5,2107,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,7,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,25 - BS5,2107,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,10,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,26 - BS7,4039,U. S. Senator,Royce West,DEM,89,36
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,26 - BS7,4039,U. S. Senator,"Mary ""MJ"" Hegar",DEM,65,34
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,26 - BS7,4039,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,78,37
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,26 - BS7,4039,Railroad Commissioner,Chrysta Castañeda,DEM,76,32
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,26 - BS7,4039,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,109,50
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,26 - BS7,4039,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,44,17
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,27 - BS7,2268,U. S. Senator,Royce West,DEM,92,35
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,27 - BS7,2268,U. S. Senator,"Mary ""MJ"" Hegar",DEM,90,17
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,27 - BS7,2268,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,69,22
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,27 - BS7,2268,Railroad Commissioner,Chrysta Castañeda,DEM,112,28
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,27 - BS7,2268,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,92,32
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,27 - BS7,2268,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,87,18
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,28 - BS7,4364,U. S. Senator,Royce West,DEM,87,32
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,28 - BS7,4364,U. S. Senator,"Mary ""MJ"" Hegar",DEM,66,46
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,28 - BS7,4364,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,62,39
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,28 - BS7,4364,Railroad Commissioner,Chrysta Castañeda,DEM,91,38
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,28 - BS7,4364,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,109,47
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,28 - BS7,4364,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,44,29
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,29 - BS7,3635,U. S. Senator,Royce West,DEM,140,71
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,29 - BS7,3635,U. S. Senator,"Mary ""MJ"" Hegar",DEM,71,49
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,29 - BS7,3635,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,80,40
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,29 - BS7,3635,Railroad Commissioner,Chrysta Castañeda,DEM,130,77
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,29 - BS7,3635,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,136,85
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,29 - BS7,3635,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,74,32
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,30 - BS6,2787,U. S. Senator,Royce West,DEM,15,11
