id	precinct	office	district	party	candidate	votes	absentee	early_voting	election_day
561	Precinct 31	"Presiding Judge, Ct of Crim App"							
562	Precinct 31				REP David J. Schenck	348	10	279	59
563	Precinct 31				DEM Holly Taylor	88	4	58	26
564	Precinct 31				Over Votes	0	0	0	0
565	Precinct 31				Under Votes	26	0	23	3
566	Precinct 31	"Judge, Ct of Crim App, Pl 7"							
567	Precinct 31				REP Gina Parker	348	11	281	56
568	Precinct 31				DEM Nancy Mulder	81	3	54	24
569	Precinct 31				Over Votes	0	0	0	0
570	Precinct 31				Under Votes	33	0	25	8
571	Precinct 31	"Judge, Ct of Crim App, Pl 8"							
572	Precinct 31				REP Lee Finley	348	11	283	54
573	Precinct 31				DEM Chika Anyiam	82	3	53	26
574	Precinct 31				Over Votes	0	0	0	0
575	Precinct 31				Under Votes	32	0	24	8
576	Precinct 31								
577	Precinct 31	"Member, State BoE, Dist 3"							
578	Precinct 31				DEM Marisa Perez-Diaz	181	6	131	44
579	Precinct 31				Over Votes	0	0	0	0
580	Precinct 31				Under Votes	281	8	229	44
581	Precinct 31	"State Representative, Dist 30"							
582	Precinct 31				REP AJ Louderback	345	11	277	57
583	Precinct 31				DEM Stephanie R. Bassham	94	3	64	27
584	Precinct 31				Over Votes	0	0	0	0
585	Precinct 31				Under Votes	23	0	19	4
586	Precinct 31	"Chief Justice, 13th Ct of App Dist"							
587	Precinct 31				REP Jaime Tijerina	340	11	274	55
588	Precinct 31				DEM Gina Benavides	88	3	59	26
589	Precinct 31				Over Votes	0	0	0	0
590	Precinct 31				Under Votes	34	0	27	7
591	Precinct 31	"Justice, 13th Ct of App Dist, Pl 2"							
592	Precinct 31				REP Jenny Cron	341	11	274	56
593	Precinct 31				DEM Nora Longoria	86	3	59	24
594	Precinct 31				Over Votes	0	0	0	0
595	Precinct 31				Under Votes	35	0	27	8
596	Precinct 31								
597	Precinct 31	"Justice, 13th Ct of App Dist, Pl 4"							
598	Precinct 31				REP Ysmael D. Fonseca	338	11	271	56
599	Precinct 31				DEM Joe Martinez	89	3	61	25
600	Precinct 31				Over Votes	0	0	0	0
601	Precinct 31				Under Votes	35	0	28	7
602	Precinct 31	"Justice, 13th Ct of App Dist, Pl 5"							
603	Precinct 31				REP Jon West	347	11	280	56
604	Precinct 31				DEM Regi Compian Richardson	77	3	50	24
605	Precinct 31				Over Votes	0	0	0	0
606	Precinct 31				Under Votes	38	0	30	8
607	Precinct 31	"Dist Judge, 24th Judicial Dist"							
608	Precinct 31				REP Lisa Harvey Moore	376	11	298	67
609	Precinct 31				Over Votes	0	0	0	0
610	Precinct 31				Under Votes	86	3	62	21
611	Precinct 31	"Dist Judge, 135th Judicial Dist"							
612	Precinct 31				REP Kemper Stephen Williams	378	10	301	67
613	Precinct 31				Over Votes	0	0	0	0
614	Precinct 31				Under Votes	84	4	59	21
615	Precinct 31	"Dist Attorney, 24th Judicial Dist"							
616	Precinct 31				REP Brian Michael Cromeens	383	11	305	67
617	Precinct 31				Over Votes	0	0	0	0
618	Precinct 31				Under Votes	79	3	55	21
619	Precinct 31								
620	Precinct 31	County Attorney							
621	Precinct 31				Write-ins	108	2	83	23
622	Precinct 31				Over Votes	0	0	0	0
623	Precinct 31				Under Votes	354	12	277	65
624	Precinct 31	Sheriff							
625	Precinct 31				REP Roy Boyd Jr	386	11	304	71
626	Precinct 31				Over Votes	0	0	0	0
627	Precinct 31				Under Votes	76	3	56	17
628	Precinct 31	County Tax Assessor-Collector							
629	Precinct 31				REP Michelle Garcia	388	11	304	73
630	Precinct 31				Over Votes	0	0	0	0
631	Precinct 31				Under Votes	74	3	56	15
632	Precinct 31	"County Commissioner, Precinct No. 3"							
633	Precinct 31				REP Kirby Brumby	362	11	287	64
634	Precinct 31				Over Votes	0	0	0	0
635	Precinct 31				Under Votes	100	3	73	24
636	Precinct 31								
637	Precinct 31	"Constable, Precinct No. 2"							
638	Precinct 31				REP Bill Zappe	375	10	297	68
639	Precinct 31				Over Votes	0	0	0	0
640	Precinct 31				Under Votes	87	4	63	20
641	Precinct 32								
642	Precinct 32	Registered Voters				644			
643	Precinct 32	Ballots Cast				511	14	351	146
644	Precinct 32	Ballots Cast - Blank				1	0	1	0
645	Precinct 32	President							
646	Precinct 32				REP Donald J. Trump	452	11	314	127
647	Precinct 32				DEM Kamala D. Harris	53	3	33	17
648	Precinct 32				LIB Chase Oliver	3	0	1	2
649	Precinct 32				GRN Jill Stein	1	0	1	0
650	Precinct 32				Write-ins	1	0	1	0
651	Precinct 32				Over Votes	0	0	0	0
652	Precinct 32				Under Votes	1	0	1	0
653	Precinct 32	U.S. Senate							
654	Precinct 32				REP Ted Cruz	438	10	310	118
655	Precinct 32				DEM Colin Allred	62	3	36	23
656	Precinct 32				LIB Ted Brown	6	0	4	2
657	Precinct 32				Write-ins	0	0	0	0
658	Precinct 32				Over Votes	0	0	0	0
659	Precinct 32				Under Votes	5	1	1	3
660	Precinct 32								
661	Precinct 32	"US Representative, Dist 27"							
662	Precinct 32				REP Michael Cloud	445	11	308	126
663	Precinct 32				DEM Tanya Lloyd	47	3	29	15
664	Precinct 32				Over Votes	0	0	0	0
665	Precinct 32				Under Votes	19	0	14	5
666	Precinct 32	Railroad Commissioner							
667	Precinct 32				REP Christi Craddick	429	11	299	119
668	Precinct 32				DEM Katherine Culbert	44	3	27	14
669	Precinct 32				LIB Hawk Dunlap	14	0	10	4
670	Precinct 32				GRN Eddie Espinoza	3	0	0	3
671	Precinct 32				Write-ins	1	0	1	0
672	Precinct 32				Over Votes	0	0	0	0
673	Precinct 32				Under Votes	20	0	14	6
674	Precinct 32	"Justice, Supreme Court, Pl 2"							
675	Precinct 32				REP Jimmy Blacklock	444	12	308	124
676	Precinct 32				DEM DaSean Jones	43	2	28	13
677	Precinct 32				Over Votes	0	0	0	0
678	Precinct 32				Under Votes	24	0	15	9
679	Precinct 32	"Justice, Supreme Court, Pl 4"							
680	Precinct 32				REP John Devine	437	12	303	122
681	Precinct 32				DEM Christine Vinh Weems	47	2	31	14
682	Precinct 32				Over Votes	0	0	0	0
683	Precinct 32				Under Votes	27	0	17	10
684	Precinct 32								
685	Precinct 32	"Justice, Supreme Court, Pl 6"							
686	Precinct 32				REP Jane Bland	429	12	298	119
687	Precinct 32				DEM Bonnie Lee Goldstein	46	2	29	15
688	Precinct 32				LIB J. David Roberson	9	0	6	3
689	Precinct 32				Over Votes	0	0	0	0
690	Precinct 32				Under Votes	27	0	18	9
691	Precinct 32	"Presiding Judge, Ct of Crim App"							
692	Precinct 32				REP David J. Schenck	435	12	305	118
693	Precinct 32				DEM Holly Taylor	48	2	29	17
694	Precinct 32				Over Votes	0	0	0	0
695	Precinct 32				Under Votes	28	0	17	11
696	Precinct 32	"Judge, Ct of Crim App, Pl 7"							
697	Precinct 32				REP Gina Parker	432	12	298	122
698	Precinct 32				DEM Nancy Mulder	45	2	29	14
699	Precinct 32				Over Votes	0	0	0	0
700	Precinct 32				Under Votes	34	0	24	10
701	Precinct 32	"Judge, Ct of Crim App, Pl 8"							
702	Precinct 32				REP Lee Finley	437	11	304	122
703	Precinct 32				DEM Chika Anyiam	48	3	30	15
704	Precinct 32				Over Votes	0	0	0	0
705	Precinct 32				Under Votes	26	0	17	9
706	Precinct 32								
707	Precinct 32	"Member, State BoE, Dist 3"							
708	Precinct 32				DEM Marisa Perez-Diaz	159	8	97	54
709	Precinct 32				Over Votes	0	0	0	0
710	Precinct 32				Under Votes	352	6	254	92
711	Precinct 32	"State Representative, Dist 30"							
712	Precinct 32				REP AJ Louderback	436	11	305	120
713	Precinct 32				DEM Stephanie R. Bassham	49	2	30	17
714	Precinct 32				Over Votes	0	0	0	0
715	Precinct 32				Under Votes	26	1	16	9
716	Precinct 32	"Chief Justice, 13th Ct of App Dist"							
717	Precinct 32				REP Jaime Tijerina	434	12	302	120
718	Precinct 32				DEM Gina Benavides	47	2	28	17
719	Precinct 32				Over Votes	0	0	0	0
720	Precinct 32				Under Votes	30	0	21	9
721	Precinct 32	"Justice, 13th Ct of App Dist, Pl 2"							
722	Precinct 32				REP Jenny Cron	433	11	302	120
723	Precinct 32				DEM Nora Longoria	52	3	32	17
724	Precinct 32				Over Votes	0	0	0	0
725	Precinct 32				Under Votes	26	0	17	9
726	Precinct 32								
727	Precinct 32	"Justice, 13th Ct of App Dist, Pl 4"							
728	Precinct 32				REP Ysmael D. Fonseca	427	10	298	119
729	Precinct 32				DEM Joe Martinez	50	3	30	17
730	Precinct 32				Over Votes	0	0	0	0
731	Precinct 32				Under Votes	34	1	23	10
732	Precinct 32	"Justice, 13th Ct of App Dist, Pl 5"							
733	Precinct 32				REP Jon West	435	11	301	123
734	Precinct 32				DEM Regi Compian Richardson	45	3	28	14
735	Precinct 32				Over Votes	0	0	0	0
736	Precinct 32				Under Votes	31	0	22	9
737	Precinct 32	"Dist Judge, 24th Judicial Dist"							
738	Precinct 32				REP Lisa Harvey Moore	443	12	306	125
739	Precinct 32				Over Votes	0	0	0	0
740	Precinct 32				Under Votes	68	2	45	21
741	Precinct 32	"Dist Judge, 135th Judicial Dist"							
742	Precinct 32				REP Kemper Stephen Williams	440	12	304	124
743	Precinct 32				Over Votes	0	0	0	0
744	Precinct 32				Under Votes	71	2	47	22
745	Precinct 32	"Dist Attorney, 24th Judicial Dist"							
746	Precinct 32				REP Brian Michael Cromeens	442	12	306	124
747	Precinct 32				Over Votes	0	0	0	0
748	Precinct 32				Under Votes	69	2	45	22
749	Precinct 32								
750	Precinct 32	County Attorney							
751	Precinct 32				Write-ins	110	1	83	26
752	Precinct 32				Over Votes	0	0	0	0
753	Precinct 32				Under Votes	401	13	268	120
754	Precinct 32	Sheriff							
755	Precinct 32				REP Roy Boyd Jr	440	13	302	125
756	Precinct 32				Over Votes	0	0	0	0
757	Precinct 32				Under Votes	71	1	49	21
758	Precinct 32	County Tax Assessor-Collector							
759	Precinct 32				REP Michelle Garcia	432	13	297	122
760	Precinct 32				Over Votes	0	0	0	0
761	Precinct 32				Under Votes	79	1	54	24
762	Precinct 32	"County Commissioner, Precinct No. 3"							
763	Precinct 32				REP Kirby Brumby	423	12	289	122
764	Precinct 32				Over Votes	0	0	0	0
765	Precinct 32				Under Votes	88	2	62	24
766	Precinct 32								
767	Precinct 32	"Constable, Precinct No. 2"							
768	Precinct 32				REP Bill Zappe	425	13	287	125
769	Precinct 32				Over Votes	0	0	0	0
770	Precinct 32				Under Votes	86	1	64	21
771	Precinct 41								
772	Precinct 41	Registered Voters				398			
773	Precinct 41	Ballots Cast				308	17	212	79
774	Precinct 41	Ballots Cast - Blank				0	0	0	0
775	Precinct 41	President							
776	Precinct 41				REP Donald J. Trump	262	10	184	68
777	Precinct 41				DEM Kamala D. Harris	46	7	28	11
778	Precinct 41				LIB Chase Oliver	0	0	0	0
779	Precinct 41				GRN Jill Stein	0	0	0	0
780	Precinct 41				Write-ins	0	0	0	0
781	Precinct 41				Over Votes	0	0	0	0
782	Precinct 41				Under Votes	0	0	0	0
783	Precinct 41	U.S. Senate							
784	Precinct 41				REP Ted Cruz	254	10	179	65
785	Precinct 41				DEM Colin Allred	45	6	28	11
786	Precinct 41				LIB Ted Brown	5	0	3	2
787	Precinct 41				Write-ins	3	0	2	1
788	Precinct 41				Over Votes	0	0	0	0
789	Precinct 41				Under Votes	1	1	0	0
790	Precinct 41								
791	Precinct 41	"US Representative, Dist 27"							
792	Precinct 41				REP Michael Cloud	263	10	184	69
793	Precinct 41				DEM Tanya Lloyd	40	6	24	10
794	Precinct 41				Over Votes	0	0	0	0
795	Precinct 41				Under Votes	5	1	4	0
796	Precinct 41	Railroad Commissioner							
797	Precinct 41				REP Christi Craddick	255	10	180	65
798	Precinct 41				DEM Katherine Culbert	34	6	19	9
799	Precinct 41				LIB Hawk Dunlap	5	0	2	3
800	Precinct 41				GRN Eddie Espinoza	4	0	2	2
801	Precinct 41				Write-ins	0	0	0	0
802	Precinct 41				Over Votes	0	0	0	0
803	Precinct 41				Under Votes	10	1	9	0
804	Precinct 41	"Justice, Supreme Court, Pl 2"							
805	Precinct 41				REP Jimmy Blacklock	255	10	178	67
806	Precinct 41				DEM DaSean Jones	42	6	24	12
807	Precinct 41				Over Votes	0	0	0	0
808	Precinct 41				Under Votes	11	1	10	0
809	Precinct 41	"Justice, Supreme Court, Pl 4"							
810	Precinct 41				REP John Devine	251	9	176	66
811	Precinct 41				DEM Christine Vinh Weems	42	6	24	12
812	Precinct 41				Over Votes	0	0	0	0
813	Precinct 41				Under Votes	15	2	12	1
814	Precinct 41								
815	Precinct 41	"Justice, Supreme Court, Pl 6"							
816	Precinct 41				REP Jane Bland	249	9	173	67
817	Precinct 41				DEM Bonnie Lee Goldstein	40	6	23	11
818	Precinct 41				LIB J. David Roberson	5	0	4	1
819	Precinct 41				Over Votes	0	0	0	0
820	Precinct 41				Under Votes	14	2	12	0
821	Precinct 41	"Presiding Judge, Ct of Crim App"							
822	Precinct 41				REP David J. Schenck	248	10	172	66
823	Precinct 41				DEM Holly Taylor	44	6	26	12
824	Precinct 41				Over Votes	0	0	0	0
825	Precinct 41				Under Votes	16	1	14	1
826	Precinct 41	"Judge, Ct of Crim App, Pl 7"							
827	Precinct 41				REP Gina Parker	248	10	174	64
828	Precinct 41				DEM Nancy Mulder	40	6	22	12
829	Precinct 41				Over Votes	0	0	0	0
830	Precinct 41				Under Votes	20	1	16	3
831	Precinct 41	"Judge, Ct of Crim App, Pl 8"							
832	Precinct 41				REP Lee Finley	255	10	177	68
833	Precinct 41				DEM Chika Anyiam	36	6	20	10
834	Precinct 41				Over Votes	0	0	0	0
835	Precinct 41				Under Votes	17	1	15	1
836	Precinct 41								
837	Precinct 41	"Member, State BoE, Dist 3"							
838	Precinct 41				DEM Marisa Perez-Diaz	94	10	61	23
839	Precinct 41				Over Votes	0	0	0	0
840	Precinct 41				Under Votes	214	7	151	56
841	Precinct 41	"State Representative, Dist 30"							
842	Precinct 41				REP AJ Louderback	255	9	178	68
843	Precinct 41				DEM Stephanie R. Bassham	42	5	27	10
844	Precinct 41				Over Votes	0	0	0	0
845	Precinct 41				Under Votes	11	3	7	1
846	Precinct 41	"Chief Justice, 13th Ct of App Dist"							
847	Precinct 41				REP Jaime Tijerina	249	10	172	67
848	Precinct 41				DEM Gina Benavides	42	5	26	11
849	Precinct 41				Over Votes	0	0	0	0
850	Precinct 41				Under Votes	17	2	14	1
851	Precinct 41	"Justice, 13th Ct of App Dist, Pl 2"							
852	Precinct 41				REP Jenny Cron	248	10	173	65
853	Precinct 41				DEM Nora Longoria	40	5	24	11
854	Precinct 41				Over Votes	0	0	0	0
855	Precinct 41				Under Votes	20	2	15	3
856	Precinct 41								
857	Precinct 41	"Justice, 13th Ct of App Dist, Pl 4"							
858	Precinct 41				REP Ysmael D. Fonseca	249	10	171	68
859	Precinct 41				DEM Joe Martinez	39	5	24	10
860	Precinct 41				Over Votes	0	0	0	0
861	Precinct 41				Under Votes	20	2	17	1
862	Precinct 41	"Justice, 13th Ct of App Dist, Pl 5"							
863	Precinct 41				REP Jon West	255	10	176	69
864	Precinct 41				DEM Regi Compian Richardson	38	5	24	9
865	Precinct 41				Over Votes	0	0	0	0
866	Precinct 41				Under Votes	15	2	12	1
867	Precinct 41	"Dist Judge, 24th Judicial Dist"							
868	Precinct 41				REP Lisa Harvey Moore	266	11	184	71
869	Precinct 41				Over Votes	0	0	0	0
870	Precinct 41				Under Votes	42	6	28	8
871	Precinct 41	"Dist Judge, 135th Judicial Dist"							
872	Precinct 41				REP Kemper Stephen Williams	262	11	179	72
873	Precinct 41				Over Votes	0	0	0	0
874	Precinct 41				Under Votes	46	6	33	7
875	Precinct 41	"Dist Attorney, 24th Judicial Dist"							
876	Precinct 41				REP Brian Michael Cromeens	263	9	182	72
877	Precinct 41				Over Votes	0	0	0	0
878	Precinct 41				Under Votes	45	8	30	7
879	Precinct 41								
880	Precinct 41	County Attorney							
881	Precinct 41				Write-ins	65	2	43	20
882	Precinct 41				Over Votes	0	0	0	0
883	Precinct 41				Under Votes	243	15	169	59
884	Precinct 41	Sheriff							
885	Precinct 41				REP Roy Boyd Jr	272	11	187	74
886	Precinct 41				Over Votes	0	0	0	0
887	Precinct 41				Under Votes	36	6	25	5
888	Precinct 41	County Tax Assessor-Collector							
889	Precinct 41				REP Michelle Garcia	268	11	186	71
890	Precinct 41				Over Votes	0	0	0	0
891	Precinct 41				Under Votes	40	6	26	8
892	Precinct 41	"Constable, Precinct No. 2"							
893	Precinct 41				REP Bill Zappe	265	11	181	73
894	Precinct 41				Over Votes	0	0	0	0
895	Precinct 41				Under Votes	43	6	31	6
896	Precinct 42								
897	Precinct 42	Registered Voters				680			
898	Precinct 42	Ballots Cast				515	18	263	234
899	Precinct 42	Ballots Cast - Blank				0	0	0	0
900	Precinct 42	President							
901	Precinct 42				REP Donald J. Trump	454	12	222	220
902	Precinct 42				DEM Kamala D. Harris	58	5	41	12
903	Precinct 42				LIB Chase Oliver	0	0	0	0
904	Precinct 42				GRN Jill Stein	3	1	0	2
905	Precinct 42				Write-ins	0	0	0	0
906	Precinct 42				Over Votes	0	0	0	0
907	Precinct 42				Under Votes	0	0	0	0
908	Precinct 42	U.S. Senate							
909	Precinct 42				REP Ted Cruz	437	12	216	209
910	Precinct 42				DEM Colin Allred	65	5	43	17
911	Precinct 42				LIB Ted Brown	13	1	4	8
912	Precinct 42				Write-ins	0	0	0	0
913	Precinct 42				Over Votes	0	0	0	0
914	Precinct 42				Under Votes	0	0	0	0
915	Precinct 42								
916	Precinct 42	"US Representative, Dist 27"							
917	Precinct 42				REP Michael Cloud	459	12	228	219
918	Precinct 42				DEM Tanya Lloyd	47	6	31	10
919	Precinct 42				Over Votes	0	0	0	0
920	Precinct 42				Under Votes	9	0	4	5
921	Precinct 42	Railroad Commissioner							
922	Precinct 42				REP Christi Craddick	443	11	218	214
923	Precinct 42				DEM Katherine Culbert	48	4	33	11
924	Precinct 42				LIB Hawk Dunlap	10	2	4	4
925	Precinct 42				GRN Eddie Espinoza	2	0	1	1
926	Precinct 42				Write-ins	1	0	1	0
927	Precinct 42				Over Votes	0	0	0	0
928	Precinct 42				Under Votes	11	1	6	4
929	Precinct 42	"Justice, Supreme Court, Pl 2"							
930	Precinct 42				REP Jimmy Blacklock	456	13	226	217
931	Precinct 42				DEM DaSean Jones	46	5	31	10
932	Precinct 42				Over Votes	0	0	0	0
933	Precinct 42				Under Votes	13	0	6	7
934	Precinct 42	"Justice, Supreme Court, Pl 4"							
935	Precinct 42				REP John Devine	449	12	220	217
936	Precinct 42				DEM Christine Vinh Weems	52	6	36	10
937	Precinct 42				Over Votes	0	0	0	0
938	Precinct 42				Under Votes	14	0	7	7
939	Precinct 42								
940	Precinct 42	"Justice, Supreme Court, Pl 6"							
941	Precinct 42				REP Jane Bland	442	13	221	208
942	Precinct 42				DEM Bonnie Lee Goldstein	52	5	36	11
943	Precinct 42				LIB J. David Roberson	6	0	0	6
944	Precinct 42				Over Votes	0	0	0	0
945	Precinct 42				Under Votes	15	0	6	9
946	Precinct 42	"Presiding Judge, Ct of Crim App"							
947	Precinct 42				REP David J. Schenck	442	12	219	211
948	Precinct 42				DEM Holly Taylor	55	6	36	13
949	Precinct 42				Over Votes	0	0	0	0
950	Precinct 42				Under Votes	18	0	8	10
951	Precinct 42	"Judge, Ct of Crim App, Pl 7"							
952	Precinct 42				REP Gina Parker	450	12	221	217
953	Precinct 42				DEM Nancy Mulder	48	6	33	9
954	Precinct 42				Over Votes	0	0	0	0
955	Precinct 42				Under Votes	17	0	9	8
956	Precinct 42	"Judge, Ct of Crim App, Pl 8"							
957	Precinct 42				REP Lee Finley	453	14	222	217
958	Precinct 42				DEM Chika Anyiam	46	4	33	9
959	Precinct 42				Over Votes	0	0	0	0
960	Precinct 42				Under Votes	16	0	8	8
961	Precinct 42								
962	Precinct 42	"Member, State BoE, Dist 3"							
963	Precinct 42				DEM Marisa Perez-Diaz	173	8	84	81
964	Precinct 42				Over Votes	0	0	0	0
965	Precinct 42				Under Votes	342	10	179	153
966	Precinct 42	"State Representative, Dist 30"							
967	Precinct 42				REP AJ Louderback	449	12	223	214
968	Precinct 42				DEM Stephanie R. Bassham	51	5	33	13
969	Precinct 42				Over Votes	0	0	0	0
970	Precinct 42				Under Votes	15	1	7	7
971	Precinct 42	"Chief Justice, 13th Ct of App Dist"							
972	Precinct 42				REP Jaime Tijerina	444	12	217	215
973	Precinct 42				DEM Gina Benavides	52	6	36	10
974	Precinct 42				Over Votes	0	0	0	0
975	Precinct 42				Under Votes	19	0	10	9
976	Precinct 42	"Justice, 13th Ct of App Dist, Pl 2"							
977	Precinct 42				REP Jenny Cron	442	14	216	212
978	Precinct 42				DEM Nora Longoria	56	4	38	14
979	Precinct 42				Over Votes	0	0	0	0
980	Precinct 42				Under Votes	17	0	9	8
981	Precinct 42								
982	Precinct 42	"Justice, 13th Ct of App Dist, Pl 4"							
983	Precinct 42				REP Ysmael D. Fonseca	438	11	217	210
984	Precinct 42				DEM Joe Martinez	52	7	35	10
985	Precinct 42				Over Votes	0	0	0	0
986	Precinct 42				Under Votes	25	0	11	14
987	Precinct 42	"Justice, 13th Ct of App Dist, Pl 5"							
988	Precinct 42				REP Jon West	449	13	220	216
989	Precinct 42				DEM Regi Compian Richardson	46	5	32	9
990	Precinct 42				Over Votes	0	0	0	0
991	Precinct 42				Under Votes	20	0	11	9
992	Precinct 42	"Dist Judge, 24th Judicial Dist"							
993	Precinct 42				REP Lisa Harvey Moore	453	14	226	213
994	Precinct 42				Over Votes	0	0	0	0
995	Precinct 42				Under Votes	62	4	37	21
996	Precinct 42	"Dist Judge, 135th Judicial Dist"							
997	Precinct 42				REP Kemper Stephen Williams	454	14	227	213
998	Precinct 42				Over Votes	0	0	0	0
999	Precinct 42				Under Votes	61	4	36	21
1000	Precinct 42	"Dist Attorney, 24th Judicial Dist"							
1001	Precinct 42				REP Brian Michael Cromeens	452	13	226	213
1002	Precinct 42				Over Votes	0	0	0	0
1003	Precinct 42				Under Votes	63	5	37	21
1004	Precinct 42								
1005	Precinct 42	County Attorney							
1006	Precinct 42				Write-ins	99	3	74	22
1007	Precinct 42				Over Votes	0	0	0	0
1008	Precinct 42				Under Votes	416	15	189	212
1009	Precinct 42	Sheriff							
1010	Precinct 42				REP Roy Boyd Jr	465	14	232	219
1011	Precinct 42				Over Votes	0	0	0	0
1012	Precinct 42				Under Votes	50	4	31	15
1013	Precinct 42	County Tax Assessor-Collector							
1014	Precinct 42				REP Michelle Garcia	454	14	224	216
1015	Precinct 42				Over Votes	0	0	0	0
1016	Precinct 42				Under Votes	61	4	39	18
1017	Precinct 42	"Constable, Precinct No. 2"							
1018	Precinct 42				REP Bill Zappe	456	14	228	214
1019	Precinct 42				Over Votes	0	0	0	0
1020	Precinct 42				Under Votes	59	4	35	20
1021	Precinct 43								
1022	Precinct 43	Registered Voters				455			
1023	Precinct 43	Ballots Cast				345	14	277	54
1024	Precinct 43	Ballots Cast - Blank				0	0	0	0
1025	Precinct 43	President							
1026	Precinct 43				REP Donald J. Trump	304	10	248	46
1027	Precinct 43				DEM Kamala D. Harris	38	4	28	6
1028	Precinct 43				LIB Chase Oliver	2	0	0	2
1029	Precinct 43				GRN Jill Stein	0	0	0	0
1030	Precinct 43				Write-ins	1	0	1	0
1031	Precinct 43				Over Votes	0	0	0	0
1032	Precinct 43				Under Votes	0	0	0	0
1033	Precinct 43	U.S. Senate							
1034	Precinct 43				REP Ted Cruz	292	10	238	44
1035	Precinct 43				DEM Colin Allred	43	4	31	8
1036	Precinct 43				LIB Ted Brown	4	0	4	0
1037	Precinct 43				Write-ins	1	0	1	0
1038	Precinct 43				Over Votes	0	0	0	0
1039	Precinct 43				Under Votes	5	0	3	2
1040	Precinct 43								
1041	Precinct 43	"US Representative, Dist 27"							
1042	Precinct 43				REP Michael Cloud	300	10	243	47
1043	Precinct 43				DEM Tanya Lloyd	33	3	25	5
1044	Precinct 43				Over Votes	0	0	0	0
1045	Precinct 43				Under Votes	12	1	9	2
1046	Precinct 43	Railroad Commissioner							
1047	Precinct 43				REP Christi Craddick	290	11	236	43
1048	Precinct 43				DEM Katherine Culbert	34	3	27	4
1049	Precinct 43				LIB Hawk Dunlap	6	0	4	2
1050	Precinct 43				GRN Eddie Espinoza	2	0	2	0
1051	Precinct 43				Write-ins	0	0	0	0
1052	Precinct 43				Over Votes	0	0	0	0
1053	Precinct 43				Under Votes	13	0	8	5
1054	Precinct 43	"Justice, Supreme Court, Pl 2"							
1055	Precinct 43				REP Jimmy Blacklock	301	10	244	47
1056	Precinct 43				DEM DaSean Jones	30	3	23	4
1057	Precinct 43				Over Votes	0	0	0	0
1058	Precinct 43				Under Votes	14	1	10	3
1059	Precinct 43	"Justice, Supreme Court, Pl 4"							
1060	Precinct 43				REP John Devine	296	10	239	47
1061	Precinct 43				DEM Christine Vinh Weems	34	3	27	4
1062	Precinct 43				Over Votes	0	0	0	0
1063	Precinct 43				Under Votes	15	1	11	3
1064	Precinct 43								
1065	Precinct 43	"Justice, Supreme Court, Pl 6"							
1066	Precinct 43				REP Jane Bland	290	10	235	45
1067	Precinct 43				DEM Bonnie Lee Goldstein	31	3	23	5
1068	Precinct 43				LIB J. David Roberson	8	0	7	1
1069	Precinct 43				Over Votes	0	0	0	0
1070	Precinct 43				Under Votes	16	1	12	3
1071	Precinct 43	"Presiding Judge, Ct of Crim App"							
1072	Precinct 43				REP David J. Schenck	293	10	238	45
1073	Precinct 43				DEM Holly Taylor	34	3	27	4
1074	Precinct 43				Over Votes	0	0	0	0
1075	Precinct 43				Under Votes	18	1	12	5
1076	Precinct 43	"Judge, Ct of Crim App, Pl 7"							
1077	Precinct 43				REP Gina Parker	291	10	238	43
1078	Precinct 43				DEM Nancy Mulder	32	3	25	4
1079	Precinct 43				Over Votes	0	0	0	0
1080	Precinct 43				Under Votes	22	1	14	7
1081	Precinct 43	"Judge, Ct of Crim App, Pl 8"							
1082	Precinct 43				REP Lee Finley	299	10	243	46
1083	Precinct 43				DEM Chika Anyiam	29	3	22	4
1084	Precinct 43				Over Votes	0	0	0	0
1085	Precinct 43				Under Votes	17	1	12	4
1086	Precinct 43								
1087	Precinct 43	"Member, State BoE, Dist 3"							
1088	Precinct 43				DEM Marisa Perez-Diaz	121	5	96	20
1089	Precinct 43				Over Votes	0	0	0	0
1090	Precinct 43				Under Votes	224	9	181	34
1091	Precinct 43	"State Representative, Dist 30"							
1092	Precinct 43				REP AJ Louderback	288	11	233	44
1093	Precinct 43				DEM Stephanie R. Bassham	34	2	27	5
1094	Precinct 43				Over Votes	0	0	0	0
1095	Precinct 43				Under Votes	23	1	17	5
1096	Precinct 43	"Chief Justice, 13th Ct of App Dist"							
1097	Precinct 43				REP Jaime Tijerina	288	10	233	45
1098	Precinct 43				DEM Gina Benavides	36	3	29	4
1099	Precinct 43				Over Votes	0	0	0	0
1100	Precinct 43				Under Votes	21	1	15	5
1101	Precinct 43	"Justice, 13th Ct of App Dist, Pl 2"							
1102	Precinct 43				REP Jenny Cron	285	10	231	44
1103	Precinct 43				DEM Nora Longoria	38	3	31	4
1104	Precinct 43				Over Votes	0	0	0	0
1105	Precinct 43				Under Votes	22	1	15	6
1106	Precinct 43								
1107	Precinct 43	"Justice, 13th Ct of App Dist, Pl 4"							
1108	Precinct 43				REP Ysmael D. Fonseca	286	10	232	44
1109	Precinct 43				DEM Joe Martinez	35	3	28	4
1110	Precinct 43				Over Votes	0	0	0	0
1111	Precinct 43				Under Votes	24	1	17	6
1112	Precinct 43	"Justice, 13th Ct of App Dist, Pl 5"							
1113	Precinct 43				REP Jon West	295	10	240	45
1114	Precinct 43				DEM Regi Compian Richardson	29	3	22	4
