Political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_code,early_votes,election_votes
San Patricio County,11/6/2018,General Election,,,103,12,Straight-Party,Libertarian Party,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,United States Senator,Ted Cruz,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,United States Senator,Beto O'Rourke,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,United States Senator,Neal M. Dikeman,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"United States Representative, District No. 27",Michael Cloud,REP,2,4
San Patricio County,11/6/2018,General Election,,,103,12,"United States Representative, District No. 27",Eric Holguin,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"United States Representative, District No. 27",Daniel Tinus,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"United States Representative, District No. 27",James Duerr,IND,0,1
San Patricio County,11/6/2018,General Election,,,103,12,Governor,Greg Abbott,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,Governor,Lupe Valdez,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Governor,Mark Jay Tippetts,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Lieutenant Governor,Dan Patrick,REP,2,4
San Patricio County,11/6/2018,General Election,,,103,12,Lieutenant Governor,Mike Collier,DEM,0,1
San Patricio County,11/6/2018,General Election,,,103,12,Lieutenant Governor,Kerry Douglas McKennon,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Attorney General,Ken Paxton,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,Attorney General,Justin Nelson,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Attorney General,Michael Ray Harris,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Comptroller of Public Accounts,Glenn Hegar,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,Comptroller of Public Accounts,Joi Chevalier,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Comptroller of Public Accounts,Ben Sanders,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Commissioner of the General Land Office,George P. Bush,REP,1,4
San Patricio County,11/6/2018,General Election,,,103,12,Commissioner of the General Land Office,Miguel Suazo,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Commissioner of the General Land Office,Matt Pina,LIB,1,1
San Patricio County,11/6/2018,General Election,,,103,12,Commissioner of Agriculture,Sid Miller,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,Commissioner of Agriculture,Kim Olson,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Commissioner of Agriculture,Richard Carpenter,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Railroad Commissioner,Christi Craddick,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,Railroad Commissioner,Roman McAllen,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,Railroad Commissioner,Mike Wright,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, Supreme Court, Place 4",John Devine,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, Supreme Court, Place 6",Jeff Brown,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Member, State Board of Education, District No. 2","Charles ""Tad"" Hasse",REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Member, State Board of Education, District No. 2","Ruben Cortez, Jr.",DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"State Representative, District No. 43",J.M. Lozano,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"State Representative, District No. 43",Dee Ann Torres Miller,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Chief Justice, 13th Court of Appeals District",Ernie Aliseda,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, 13th Court of Appeals District, Place No. 2",Greg Perkes,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, 13th Court of Appeals District, Place No. 2",Nora Longoria,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, 13th Court of Appeals District, Place No. 4",Jaime Tijerina,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, 13th Court of Appeals District, Place No. 4",Rudy Delgado,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, 13th Court of Appeals District, Place No. 5",Clarissa Silva,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"Justice, 13th Court of Appeals District, Place No. 5",Gina Benavides,DEM,0,0
San Patricio County,11/6/2018,General Election,,,103,12,"District Judge, 36th Judicial District",Starr Bauer,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,"District Judge, 156th Judicial District",Patrick L. Flanigan,REP,2,5
San Patricio County,11/6/2018,General Election,,,103,12,County Judge,David R. Krebs,REP,2,5
