01880012030000045NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012043000205NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012074000080NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012089000022NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880012128000068NONISDEDGEEdgewood ISD Position 3                                 Luis "Louie" Gomez                                                                           01 
01880021013000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021026000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021029000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021030000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021031000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021032000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021035000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021088000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021090000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880021096000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022011000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022012000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022015000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022016000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022017000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022019000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022020000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022021000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022022000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022030000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022043000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022074000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022089000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022128000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880031013000162   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031026000000   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031029000284   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031030000006   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031031000237   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031032000331   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031035000000   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031088000128   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031090000000   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031096000003   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032011000283   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032012000165   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032015000251   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032016000160   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032017000142   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032019000195   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032020000380   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032021000425   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032022000224   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032030000074   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032043000270   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032074000123   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032089000044   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032128000089   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01890011013000069NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011026000000NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011029000129NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011030000001NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011031000110NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011032000155NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011035000000NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011088000073NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011090000000NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011096000003NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012011000177NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012012000107NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012015000139NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012016000088NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012017000076NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012019000102NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012020000178NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012021000212NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012022000117NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012030000036NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012043000166NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012074000079NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012089000016NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012128000050NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890021013000076NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021026000000NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021029000167NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021030000003NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021031000116NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021032000143NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021035000000NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021088000049NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021090000000NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021096000000NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022011000107NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022012000049NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022015000075NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022016000056NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022017000053NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022019000095NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022020000108NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022021000136NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022022000071NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022030000025NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022043000097NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022074000039NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022089000013NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890022128000038NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890031013000001   ISDEDGEEdgewood ISD Position 6                                 OVER VOTES                                                                                   01 
