01880022020000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022021000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022022000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022030000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022043000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022074000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022089000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880022128000000   ISDEDGEEdgewood ISD Position 3                                 OVER VOTES                                                                                   01 
01880031013000210   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031026000000   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031029000401   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031030000012   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031031000321   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031032000512   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031035000000   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031088000211   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031090000000   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880031096000006   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032011000398   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032012000274   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032015000358   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032016000225   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032017000203   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032019000324   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032020000533   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032021000573   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032022000324   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032030000098   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032043000405   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032074000192   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032089000059   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01880032128000136   ISDEDGEEdgewood ISD Position 3                                 UNDER VOTES                                                                                  01 
01890011013000086NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011026000000NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011029000162NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011030000001NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011031000136NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011032000238NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011035000000NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011088000107NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011090000000NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890011096000003NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012011000238NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012012000152NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012015000189NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012016000112NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012017000111NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012019000161NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012020000242NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012021000278NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012022000155NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012030000047NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012043000218NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012074000115NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012089000022NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890012128000075NONISDEDGEEdgewood ISD Position 6                                 Dina Serrano                                                                                 01 
01890021013000107NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021026000000NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021029000268NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021030000006NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021031000185NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021032000217NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021035000000NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021088000077NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021090000000NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
01890021096000002NONISDEDGEEdgewood ISD Position 6                                 Richard Santoyo Jr.                                                                          01 
