political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,party_code,candidate_name,early_votes,election_votes
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Lieutenant Governor,DEM,Michelle Beckley,10,5
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Attorney General,DEM,Rochelle Mercedes Garza,10,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Attorney General,DEM,Joe Jaworski,6,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Comptroller of Public Accounts,DEM,Angel Luis Vega,6,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Comptroller of Public Accounts,DEM,Janet T. Dudding,10,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Commissioner of the General Land Office,DEM,Jay Kleberg,13,12
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Commissioner of the General Land Office,DEM,Sandragrace Martinez,3,6
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Attorney General,REP,George P. Bush,66,57
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Attorney General,REP,Ken Paxton,117,95
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Commissioner of the General Land Office,REP,Tim Westley,40,41
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Commissioner of the General Land Office,REP,Dawn Buckingham,140,99
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Railroad Commissioner,REP,Wayne Christian,105,90
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,Railroad Commissioner,REP,Sarah Stogner,55,40
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,"State Senator, District No. 24",REP,Raul Reyes,72,49
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,"State Senator, District No. 24",REP,Pete Flores,111,100
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,"County Commissioner, Precinct No. 4",REP,Keith Taylor,103,70
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,413,2688,"County Commissioner, Precinct No. 4",REP,Ray Ashby Jr,84,82
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Lieutenant Governor,DEM,Mike Collier,0,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Lieutenant Governor,DEM,Michelle Beckley,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Attorney General,DEM,Rochelle Mercedes Garza,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Attorney General,DEM,Joe Jaworski,0,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,1
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Commissioner of the General Land Office,DEM,Jay Kleberg,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,1
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Attorney General,REP,George P. Bush,7,21
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Attorney General,REP,Ken Paxton,27,37
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Commissioner of the General Land Office,REP,Tim Westley,8,12
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Commissioner of the General Land Office,REP,Dawn Buckingham,24,45
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Railroad Commissioner,REP,Wayne Christian,17,27
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,Railroad Commissioner,REP,Sarah Stogner,13,29
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,"State Senator, District No. 24",REP,Raul Reyes,11,16
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,"State Senator, District No. 24",REP,Pete Flores,20,39
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,"County Commissioner, Precinct No. 4",REP,Keith Taylor,13,46
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,414,403,"County Commissioner, Precinct No. 4",REP,Ray Ashby Jr,20,15
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Lieutenant Governor,DEM,Mike Collier,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Lieutenant Governor,DEM,Michelle Beckley,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Attorney General,DEM,Rochelle Mercedes Garza,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Attorney General,DEM,Joe Jaworski,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Comptroller of Public Accounts,DEM,Angel Luis Vega,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Comptroller of Public Accounts,DEM,Janet T. Dudding,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Commissioner of the General Land Office,DEM,Jay Kleberg,0,0
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Commissioner of the General Land Office,DEM,Sandragrace Martinez,0,0
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Attorney General,REP,George P. Bush,15,9
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Attorney General,REP,Ken Paxton,19,21
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Commissioner of the General Land Office,REP,Tim Westley,11,1
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Commissioner of the General Land Office,REP,Dawn Buckingham,18,28
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Railroad Commissioner,REP,Wayne Christian,21,18
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,Railroad Commissioner,REP,Sarah Stogner,6,9
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,"State Senator, District No. 24",REP,Raul Reyes,22,10
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,"State Senator, District No. 24",REP,Pete Flores,9,19
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,"County Commissioner, Precinct No. 4",REP,Keith Taylor,28,23
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,415,266,"County Commissioner, Precinct No. 4",REP,Ray Ashby Jr,9,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Lieutenant Governor,DEM,Mike Collier,11,6
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Lieutenant Governor,DEM,Michelle Beckley,16,12
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Attorney General,DEM,Rochelle Mercedes Garza,21,12
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Attorney General,DEM,Joe Jaworski,6,6
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Comptroller of Public Accounts,DEM,Angel Luis Vega,11,8
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Comptroller of Public Accounts,DEM,Janet T. Dudding,16,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Commissioner of the General Land Office,DEM,Jay Kleberg,15,10
Coryell County Democratic Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Commissioner of the General Land Office,DEM,Sandragrace Martinez,12,8
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Attorney General,REP,George P. Bush,24,19
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Attorney General,REP,Ken Paxton,45,44
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Commissioner of the General Land Office,REP,Tim Westley,11,22
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Commissioner of the General Land Office,REP,Dawn Buckingham,58,38
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Railroad Commissioner,REP,Wayne Christian,44,36
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,Railroad Commissioner,REP,Sarah Stogner,23,25
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,"State Senator, District No. 24",REP,Raul Reyes,35,35
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,"State Senator, District No. 24",REP,Pete Flores,34,27
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,"County Commissioner, Precinct No. 4",REP,Keith Taylor,38,30
Coryell County Republican Party,5/24/2022,"May 24, 2022 Primary Runoff",0,0,416,4391,"County Commissioner, Precinct No. 4",REP,Ray Ashby Jr,26,30
