Hunt County,,,,,,
"November 8, 2022",,,,,,
General Election,,,,,,
216 - SQL,389,Attorney General,Rochelle Mercedes Garza,50,11,35
216 - SQL,389,Attorney General,Mark Ash,7,0,7
216 - SQL,389,Comptroller of Public Accounts,Glenn Hegar,334,92,236
216 - SQL,389,Comptroller of Public Accounts,Janet T. Dudding,47,11,32
216 - SQL,389,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,3,0,3
216 - SQL,389,Commissioner of the General Land Office,Dawn Buckingham,336,93,237
216 - SQL,389,Commissioner of the General Land Office,Jay Kleberg,47,10,33
216 - SQL,389,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
216 - SQL,389,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
216 - SQL,389,Commissioner of the General Land Office,Rejected write-ins,0,0,0
216 - SQL,389,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
216 - SQL,389,Commissioner of Agriculture,Sid Miller,334,93,235
216 - SQL,389,Commissioner of Agriculture,Susan Hays,51,10,37
216 - SQL,389,Railroad Commissioner,Wayne Christian,330,92,232
216 - SQL,389,Railroad Commissioner,Luke Warford,47,10,33
216 - SQL,389,Railroad Commissioner,Jaime Andres Diez,4,0,4
216 - SQL,389,Railroad Commissioner,Hunter Wayne Crow,1,0,1
216 - SQL,389,"Justice, Supreme Court, Place 3",Debra Lehrmann,336,94,236
216 - SQL,389,"Justice, Supreme Court, Place 3",Erin A. Nowell,44,9,31
216 - SQL,389,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,0,2
216 - SQL,389,"Justice, Supreme Court, Place 5",Rebeca Huddle,335,94,235
216 - SQL,389,"Justice, Supreme Court, Place 5",Amanda Reichek,46,9,33
216 - SQL,389,"Justice, Supreme Court, Place 9",Evan Young,334,92,236
216 - SQL,389,"Justice, Supreme Court, Place 9",Julia Maldonado,48,10,34
216 - SQL,389,"Judge, Court of Criminal Appeals Place 5",Scott Walker,337,93,238
216 - SQL,389,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,45,9,32
216 - SQL,389,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",338,92,240
216 - SQL,389,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,43,9,30
216 - SQL,389,"Member, State Board of Education, Disrict 12",Pam Little,325,91,230
216 - SQL,389,"Member, State Board of Education, Disrict 12",Alex Cornwallis,45,10,31
216 - SQL,389,"Member, State Board of Education, Disrict 12",Christy Mowrey,9,0,9
216 - SQL,389,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
216 - SQL,389,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
216 - SQL,389,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
216 - SQL,389,"State Senator, District 8",Angela Paxton,327,91,230
216 - SQL,389,"State Senator, District 8",Jonathan Cocks,45,9,32
216 - SQL,389,"State Senator, District 8",Edward Kless,8,0,8
216 - SQL,389,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,332,91,235
216 - SQL,389,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,46,9,33
216 - SQL,389,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,331,90,235
216 - SQL,389,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,45,9,32
216 - SQL,389,"Hunt County, Proposition A",FOR,330,96,224
216 - SQL,389,"Hunt County, Proposition A",AGAINST,32,5,27
216 - SQL,389,"Quinlan Independent School District, Proposition A",FOR,160,43,113
216 - SQL,389,"Quinlan Independent School District, Proposition A",AGAINST,193,61,127
217,27,"United States Representative, District 4",Pat Fallon,25,12,13
217,27,"United States Representative, District 4",Iro Omere,2,2,0
217,27,"United States Representative, District 4",John Simmons,0,0,0
217,27,Governor,Greg Abbott,25,12,13
217,27,Governor,Beto O'Rourke,2,2,0
217,27,Governor,Mark Tippetts,0,0,0
217,27,Governor,Delilah Barrios,0,0,0
217,27,Governor,Jacqueline Abernathy,0,0,0
217,27,Governor,Mark V. Goloby,0,0,0
217,27,Governor,Rejected write-ins,0,0,0
217,27,Governor,Unassigned write-ins,0,0,0
217,27,Lieutenant Governor,Dan Patrick,23,11,12
217,27,Lieutenant Governor,Mike Collier,3,2,1
217,27,Lieutenant Governor,Shanna Steele,1,1,0
217,27,Attorney General,Ken Paxton,24,11,13
217,27,Attorney General,Rochelle Mercedes Garza,2,2,0
217,27,Attorney General,Mark Ash,1,1,0
217,27,Comptroller of Public Accounts,Glenn Hegar,24,12,12
217,27,Comptroller of Public Accounts,Janet T. Dudding,2,2,0
217,27,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,0,0,0
217,27,Commissioner of the General Land Office,Dawn Buckingham,25,12,13
217,27,Commissioner of the General Land Office,Jay Kleberg,2,2,0
217,27,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0
217,27,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
217,27,Commissioner of the General Land Office,Rejected write-ins,0,0,0
217,27,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
217,27,Commissioner of Agriculture,Sid Miller,25,12,13
217,27,Commissioner of Agriculture,Susan Hays,2,2,0
217,27,Railroad Commissioner,Wayne Christian,24,11,13
217,27,Railroad Commissioner,Luke Warford,2,2,0
217,27,Railroad Commissioner,Jaime Andres Diez,0,0,0
217,27,Railroad Commissioner,Hunter Wayne Crow,1,1,0
217,27,"Justice, Supreme Court, Place 3",Debra Lehrmann,25,12,13
217,27,"Justice, Supreme Court, Place 3",Erin A. Nowell,2,2,0
217,27,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0
217,27,"Justice, Supreme Court, Place 5",Rebeca Huddle,25,12,13
217,27,"Justice, Supreme Court, Place 5",Amanda Reichek,2,2,0
217,27,"Justice, Supreme Court, Place 9",Evan Young,25,12,13
217,27,"Justice, Supreme Court, Place 9",Julia Maldonado,2,2,0
217,27,"Judge, Court of Criminal Appeals Place 5",Scott Walker,25,12,13
217,27,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,2,2,0
217,27,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",25,12,13
217,27,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,2,2,0
217,27,"Member, State Board of Education, Disrict 12",Pam Little,25,12,13
217,27,"Member, State Board of Education, Disrict 12",Alex Cornwallis,1,1,0
217,27,"Member, State Board of Education, Disrict 12",Christy Mowrey,1,1,0
217,27,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
217,27,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
217,27,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
217,27,"State Senator, District 8",Angela Paxton,25,12,13
217,27,"State Senator, District 8",Jonathan Cocks,2,2,0
217,27,"State Senator, District 8",Edward Kless,0,0,0
217,27,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,25,12,13
217,27,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,2,2,0
217,27,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,25,12,13
217,27,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,2,2,0
217,27,"Hunt County, Proposition A",FOR,22,12,10
217,27,"Hunt County, Proposition A",AGAINST,1,1,0
217 - SQL,239,"United States Representative, District 4",Pat Fallon,201,48,142
217 - SQL,239,"United States Representative, District 4",Iro Omere,29,11,15
217 - SQL,239,"United States Representative, District 4",John Simmons,4,1,3
217 - SQL,239,Governor,Greg Abbott,204,50,143
217 - SQL,239,Governor,Beto O'Rourke,34,14,17
217 - SQL,239,Governor,Mark Tippetts,1,0,1
217 - SQL,239,Governor,Delilah Barrios,0,0,0
217 - SQL,239,Governor,Jacqueline Abernathy,0,0,0
217 - SQL,239,Governor,Mark V. Goloby,0,0,0
217 - SQL,239,Governor,Rejected write-ins,0,0,0
217 - SQL,239,Governor,Unassigned write-ins,0,0,0
217 - SQL,239,Lieutenant Governor,Dan Patrick,203,51,141
217 - SQL,239,Lieutenant Governor,Mike Collier,34,13,18
217 - SQL,239,Lieutenant Governor,Shanna Steele,2,0,2
217 - SQL,239,Attorney General,Ken Paxton,202,50,141
217 - SQL,239,Attorney General,Rochelle Mercedes Garza,32,13,16
217 - SQL,239,Attorney General,Mark Ash,3,0,3
217 - SQL,239,Comptroller of Public Accounts,Glenn Hegar,204,51,142
217 - SQL,239,Comptroller of Public Accounts,Janet T. Dudding,28,12,14
217 - SQL,239,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,3,0,3
217 - SQL,239,Commissioner of the General Land Office,Dawn Buckingham,205,50,144
217 - SQL,239,Commissioner of the General Land Office,Jay Kleberg,25,10,13
217 - SQL,239,Commissioner of the General Land Office,"Alfred Molison, Jr.",6,4,2
217 - SQL,239,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
217 - SQL,239,Commissioner of the General Land Office,Rejected write-ins,0,0,0
217 - SQL,239,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
217 - SQL,239,Commissioner of Agriculture,Sid Miller,206,51,145
217 - SQL,239,Commissioner of Agriculture,Susan Hays,31,13,15
217 - SQL,239,Railroad Commissioner,Wayne Christian,205,51,143
217 - SQL,239,Railroad Commissioner,Luke Warford,25,11,12
217 - SQL,239,Railroad Commissioner,Jaime Andres Diez,3,1,2
217 - SQL,239,Railroad Commissioner,Hunter Wayne Crow,1,0,1
217 - SQL,239,"Justice, Supreme Court, Place 3",Debra Lehrmann,203,50,142
217 - SQL,239,"Justice, Supreme Court, Place 3",Erin A. Nowell,33,14,17
217 - SQL,239,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,2,0,2
217 - SQL,239,"Justice, Supreme Court, Place 5",Rebeca Huddle,206,51,144
217 - SQL,239,"Justice, Supreme Court, Place 5",Amanda Reichek,32,13,17
217 - SQL,239,"Justice, Supreme Court, Place 9",Evan Young,205,51,144
217 - SQL,239,"Justice, Supreme Court, Place 9",Julia Maldonado,32,13,17
217 - SQL,239,"Judge, Court of Criminal Appeals Place 5",Scott Walker,206,49,146
217 - SQL,239,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,29,12,15
217 - SQL,239,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",204,49,144
217 - SQL,239,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,30,12,16
217 - SQL,239,"Member, State Board of Education, Disrict 12",Pam Little,197,48,138
217 - SQL,239,"Member, State Board of Education, Disrict 12",Alex Cornwallis,31,12,17
217 - SQL,239,"Member, State Board of Education, Disrict 12",Christy Mowrey,5,1,4
217 - SQL,239,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
217 - SQL,239,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
217 - SQL,239,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
217 - SQL,239,"State Senator, District 8",Angela Paxton,198,48,139
217 - SQL,239,"State Senator, District 8",Jonathan Cocks,30,12,16
217 - SQL,239,"State Senator, District 8",Edward Kless,4,1,3
217 - SQL,239,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,203,51,141
217 - SQL,239,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,32,13,17
217 - SQL,239,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,204,50,143
217 - SQL,239,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,31,14,15
217 - SQL,239,"Hunt County, Proposition A",FOR,206,50,144
217 - SQL,239,"Hunt County, Proposition A",AGAINST,18,8,10
217 - SQL,239,"Quinlan Independent School District, Proposition A",FOR,76,14,57
217 - SQL,239,"Quinlan Independent School District, Proposition A",AGAINST,145,44,94
217 - STR,127,"United States Representative, District 4",Pat Fallon,115,31,76
217 - STR,127,"United States Representative, District 4",Iro Omere,10,2,8
217 - STR,127,"United States Representative, District 4",John Simmons,1,0,1
217 - STR,127,Governor,Greg Abbott,115,31,76
217 - STR,127,Governor,Beto O'Rourke,10,2,8
217 - STR,127,Governor,Mark Tippetts,1,0,1
217 - STR,127,Governor,Delilah Barrios,1,0,1
217 - STR,127,Governor,Jacqueline Abernathy,0,0,0
217 - STR,127,Governor,Mark V. Goloby,0,0,0
217 - STR,127,Governor,Rejected write-ins,0,0,0
217 - STR,127,Governor,Unassigned write-ins,0,0,0
217 - STR,127,Lieutenant Governor,Dan Patrick,108,28,72
217 - STR,127,Lieutenant Governor,Mike Collier,14,3,11
217 - STR,127,Lieutenant Governor,Shanna Steele,4,2,2
217 - STR,127,Attorney General,Ken Paxton,109,29,72
217 - STR,127,Attorney General,Rochelle Mercedes Garza,12,2,10
217 - STR,127,Attorney General,Mark Ash,5,2,3
217 - STR,127,Comptroller of Public Accounts,Glenn Hegar,111,29,74
217 - STR,127,Comptroller of Public Accounts,Janet T. Dudding,11,2,9
217 - STR,127,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,2,0,2
217 - STR,127,Commissioner of the General Land Office,Dawn Buckingham,115,31,76
217 - STR,127,Commissioner of the General Land Office,Jay Kleberg,10,2,8
217 - STR,127,Commissioner of the General Land Office,"Alfred Molison, Jr.",1,0,1
217 - STR,127,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
217 - STR,127,Commissioner of the General Land Office,Rejected write-ins,0,0,0
217 - STR,127,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
217 - STR,127,Commissioner of Agriculture,Sid Miller,114,30,76
217 - STR,127,Commissioner of Agriculture,Susan Hays,11,2,9
217 - STR,127,Railroad Commissioner,Wayne Christian,111,29,74
217 - STR,127,Railroad Commissioner,Luke Warford,9,2,7
217 - STR,127,Railroad Commissioner,Jaime Andres Diez,3,0,3
217 - STR,127,Railroad Commissioner,Hunter Wayne Crow,1,0,1
217 - STR,127,"Justice, Supreme Court, Place 3",Debra Lehrmann,113,30,75
217 - STR,127,"Justice, Supreme Court, Place 3",Erin A. Nowell,11,2,9
217 - STR,127,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,1,0,1
217 - STR,127,"Justice, Supreme Court, Place 5",Rebeca Huddle,114,30,76
217 - STR,127,"Justice, Supreme Court, Place 5",Amanda Reichek,11,2,9
217 - STR,127,"Justice, Supreme Court, Place 9",Evan Young,114,30,76
217 - STR,127,"Justice, Supreme Court, Place 9",Julia Maldonado,11,2,9
217 - STR,127,"Judge, Court of Criminal Appeals Place 5",Scott Walker,114,30,76
217 - STR,127,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,11,2,9
217 - STR,127,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",114,30,76
217 - STR,127,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,11,2,9
217 - STR,127,"Member, State Board of Education, Disrict 12",Pam Little,110,28,74
217 - STR,127,"Member, State Board of Education, Disrict 12",Alex Cornwallis,11,1,10
217 - STR,127,"Member, State Board of Education, Disrict 12",Christy Mowrey,1,0,1
217 - STR,127,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
217 - STR,127,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
217 - STR,127,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
217 - STR,127,"State Senator, District 8",Angela Paxton,110,29,73
217 - STR,127,"State Senator, District 8",Jonathan Cocks,13,3,10
217 - STR,127,"State Senator, District 8",Edward Kless,2,0,2
217 - STR,127,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,114,30,76
217 - STR,127,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,10,2,8
217 - STR,127,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,115,30,77
217 - STR,127,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,10,2,8
217 - STR,127,"Hunt County, Proposition A",FOR,108,27,73
217 - STR,127,"Hunt County, Proposition A",AGAINST,14,2,12
217 - STR,127,"Terrell Independent School District, Proposition A",FOR,23,5,17
217 - STR,127,"Terrell Independent School District, Proposition A",AGAINST,98,25,68
217 - TPT SQL,206,"United States Representative, District 4",Pat Fallon,173,42,128
217 - TPT SQL,206,"United States Representative, District 4",Iro Omere,22,5,11
217 - TPT SQL,206,"United States Representative, District 4",John Simmons,7,1,6
217 - TPT SQL,206,Governor,Greg Abbott,172,42,127
217 - TPT SQL,206,Governor,Beto O'Rourke,25,5,14
217 - TPT SQL,206,Governor,Mark Tippetts,8,1,7
217 - TPT SQL,206,Governor,Delilah Barrios,1,0,1
217 - TPT SQL,206,Governor,Jacqueline Abernathy,0,0,0
217 - TPT SQL,206,Governor,Mark V. Goloby,0,0,0
217 - TPT SQL,206,Governor,Rejected write-ins,0,0,0
217 - TPT SQL,206,Governor,Unassigned write-ins,0,0,0
217 - TPT SQL,206,Lieutenant Governor,Dan Patrick,169,41,125
217 - TPT SQL,206,Lieutenant Governor,Mike Collier,29,6,17
217 - TPT SQL,206,Lieutenant Governor,Shanna Steele,7,1,6
217 - TPT SQL,206,Attorney General,Ken Paxton,171,43,125
217 - TPT SQL,206,Attorney General,Rochelle Mercedes Garza,30,5,19
217 - TPT SQL,206,Attorney General,Mark Ash,4,0,4
217 - TPT SQL,206,Comptroller of Public Accounts,Glenn Hegar,177,43,131
217 - TPT SQL,206,Comptroller of Public Accounts,Janet T. Dudding,25,5,14
217 - TPT SQL,206,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,3,0,3
217 - TPT SQL,206,Commissioner of the General Land Office,Dawn Buckingham,173,40,130
217 - TPT SQL,206,Commissioner of the General Land Office,Jay Kleberg,25,6,13
217 - TPT SQL,206,Commissioner of the General Land Office,"Alfred Molison, Jr.",4,1,3
217 - TPT SQL,206,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
217 - TPT SQL,206,Commissioner of the General Land Office,Rejected write-ins,0,0,0
217 - TPT SQL,206,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
217 - TPT SQL,206,Commissioner of Agriculture,Sid Miller,175,41,131
217 - TPT SQL,206,Commissioner of Agriculture,Susan Hays,27,5,16
217 - TPT SQL,206,Railroad Commissioner,Wayne Christian,168,40,125
217 - TPT SQL,206,Railroad Commissioner,Luke Warford,24,5,13
217 - TPT SQL,206,Railroad Commissioner,Jaime Andres Diez,7,1,6
217 - TPT SQL,206,Railroad Commissioner,Hunter Wayne Crow,2,1,1
217 - TPT SQL,206,"Justice, Supreme Court, Place 3",Debra Lehrmann,168,40,125
217 - TPT SQL,206,"Justice, Supreme Court, Place 3",Erin A. Nowell,27,5,16
217 - TPT SQL,206,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,6,1,5
217 - TPT SQL,206,"Justice, Supreme Court, Place 5",Rebeca Huddle,175,41,131
217 - TPT SQL,206,"Justice, Supreme Court, Place 5",Amanda Reichek,24,4,14
217 - TPT SQL,206,"Justice, Supreme Court, Place 9",Evan Young,175,42,130
217 - TPT SQL,206,"Justice, Supreme Court, Place 9",Julia Maldonado,27,5,16
217 - TPT SQL,206,"Judge, Court of Criminal Appeals Place 5",Scott Walker,177,42,132
217 - TPT SQL,206,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,25,5,14
217 - TPT SQL,206,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",177,41,133
217 - TPT SQL,206,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,24,5,13
217 - TPT SQL,206,"Member, State Board of Education, Disrict 12",Pam Little,168,39,126
217 - TPT SQL,206,"Member, State Board of Education, Disrict 12",Alex Cornwallis,23,5,12
217 - TPT SQL,206,"Member, State Board of Education, Disrict 12",Christy Mowrey,9,2,7
217 - TPT SQL,206,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
217 - TPT SQL,206,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
217 - TPT SQL,206,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
217 - TPT SQL,206,"State Senator, District 8",Angela Paxton,165,41,121
217 - TPT SQL,206,"State Senator, District 8",Jonathan Cocks,27,6,15
217 - TPT SQL,206,"State Senator, District 8",Edward Kless,8,0,8
217 - TPT SQL,206,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,176,42,131
217 - TPT SQL,206,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,24,5,13
217 - TPT SQL,206,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,176,42,131
217 - TPT SQL,206,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,24,5,13
217 - TPT SQL,206,"Hunt County, Proposition A",FOR,179,41,132
217 - TPT SQL,206,"Hunt County, Proposition A",AGAINST,17,4,10
217 - TPT SQL,206,"Town of Poetry, Proposition A",FOR,98,25,67
217 - TPT SQL,206,"Town of Poetry, Proposition A",AGAINST,101,20,78
217 - TPT SQL,206,"Quinlan Independent School District, Proposition A",FOR,55,20,31
217 - TPT SQL,206,"Quinlan Independent School District, Proposition A",AGAINST,135,24,106
217 - TPT STR,391,"United States Representative, District 4",Pat Fallon,318,38,274
217 - TPT STR,391,"United States Representative, District 4",Iro Omere,61,14,44
217 - TPT STR,391,"United States Representative, District 4",John Simmons,10,0,10
217 - TPT STR,391,Governor,Greg Abbott,322,38,276
217 - TPT STR,391,Governor,Beto O'Rourke,66,14,49
217 - TPT STR,391,Governor,Mark Tippetts,2,0,2
217 - TPT STR,391,Governor,Delilah Barrios,1,0,1
217 - TPT STR,391,Governor,Jacqueline Abernathy,0,0,0
217 - TPT STR,391,Governor,Mark V. Goloby,0,0,0
217 - TPT STR,391,Governor,Rejected write-ins,0,0,0
217 - TPT STR,391,Governor,Unassigned write-ins,0,0,0
217 - TPT STR,391,Lieutenant Governor,Dan Patrick,308,36,264
217 - TPT STR,391,Lieutenant Governor,Mike Collier,64,15,46
217 - TPT STR,391,Lieutenant Governor,Shanna Steele,16,1,15
217 - TPT STR,391,Attorney General,Ken Paxton,305,37,262
217 - TPT STR,391,Attorney General,Rochelle Mercedes Garza,66,13,49
217 - TPT STR,391,Attorney General,Mark Ash,17,2,15
217 - TPT STR,391,Comptroller of Public Accounts,Glenn Hegar,323,38,279
217 - TPT STR,391,Comptroller of Public Accounts,Janet T. Dudding,56,14,37
217 - TPT STR,391,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,10,0,10
217 - TPT STR,391,Commissioner of the General Land Office,Dawn Buckingham,322,38,278
217 - TPT STR,391,Commissioner of the General Land Office,Jay Kleberg,57,14,38
217 - TPT STR,391,Commissioner of the General Land Office,"Alfred Molison, Jr.",6,0,6
217 - TPT STR,391,Commissioner of the General Land Office,Carrie Evelyn Menger,0,0,0
217 - TPT STR,391,Commissioner of the General Land Office,Rejected write-ins,0,0,0
217 - TPT STR,391,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
217 - TPT STR,391,Commissioner of Agriculture,Sid Miller,322,38,278
217 - TPT STR,391,Commissioner of Agriculture,Susan Hays,64,13,46
217 - TPT STR,391,Railroad Commissioner,Wayne Christian,314,38,270
217 - TPT STR,391,Railroad Commissioner,Luke Warford,57,13,39
217 - TPT STR,391,Railroad Commissioner,Jaime Andres Diez,12,1,11
217 - TPT STR,391,Railroad Commissioner,Hunter Wayne Crow,4,0,4
217 - TPT STR,391,"Justice, Supreme Court, Place 3",Debra Lehrmann,317,38,273
217 - TPT STR,391,"Justice, Supreme Court, Place 3",Erin A. Nowell,59,14,40
217 - TPT STR,391,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,11,0,11
217 - TPT STR,391,"Justice, Supreme Court, Place 5",Rebeca Huddle,321,38,277
217 - TPT STR,391,"Justice, Supreme Court, Place 5",Amanda Reichek,63,14,44
217 - TPT STR,391,"Justice, Supreme Court, Place 9",Evan Young,316,38,272
217 - TPT STR,391,"Justice, Supreme Court, Place 9",Julia Maldonado,66,14,47
217 - TPT STR,391,"Judge, Court of Criminal Appeals Place 5",Scott Walker,320,38,276
217 - TPT STR,391,"Judge, Court of Criminal Appeals Place 5",Dana Huffman,64,14,45
217 - TPT STR,391,"Judge, Court of Criminal Appeals Place 6","Jesse F. McClure, III",325,38,281
217 - TPT STR,391,"Judge, Court of Criminal Appeals Place 6",Robert Johnson,59,14,40
217 - TPT STR,391,"Member, State Board of Education, Disrict 12",Pam Little,311,36,269
217 - TPT STR,391,"Member, State Board of Education, Disrict 12",Alex Cornwallis,61,14,42
217 - TPT STR,391,"Member, State Board of Education, Disrict 12",Christy Mowrey,9,1,8
217 - TPT STR,391,"Member, State Board of Education, Disrict 12",Rosiland Davis,0,0,0
217 - TPT STR,391,"Member, State Board of Education, Disrict 12",Rejected write-ins,0,0,0
217 - TPT STR,391,"Member, State Board of Education, Disrict 12",Unassigned write-ins,0,0,0
217 - TPT STR,391,"State Senator, District 8",Angela Paxton,307,37,264
217 - TPT STR,391,"State Senator, District 8",Jonathan Cocks,68,14,49
217 - TPT STR,391,"State Senator, District 8",Edward Kless,9,0,9
217 - TPT STR,391,"Justice, 5th Court of Appeals District, Place 4",Emily A. Miskel,320,37,277
217 - TPT STR,391,"Justice, 5th Court of Appeals District, Place 4",Maricela Moore,61,14,42
217 - TPT STR,391,"Justice, 5th Court of Appeals District, Place 7",Kristina Williams,314,37,271
217 - TPT STR,391,"Justice, 5th Court of Appeals District, Place 7",Nancy Kennedy,65,14,46
217 - TPT STR,391,"Hunt County, Proposition A",FOR,335,44,282
217 - TPT STR,391,"Hunt County, Proposition A",AGAINST,39,7,31
217 - TPT STR,391,"Town of Poetry, Proposition A",FOR,253,29,217
217 - TPT STR,391,"Town of Poetry, Proposition A",AGAINST,129,23,102
217 - TPT STR,391,"Terrell Independent School District, Proposition A",FOR,105,11,93
217 - TPT STR,391,"Terrell Independent School District, Proposition A",AGAINST,271,39,223
318,423,"United States Representative, District 3",Keith Self,361,153,197
318,423,"United States Representative, District 3",Sandeep Srivastava,51,36,14
318,423,"United States Representative, District 3",Christopher Claytor,7,3,4
318,423,Governor,Greg Abbott,366,156,199
318,423,Governor,Beto O'Rourke,52,36,15
318,423,Governor,Mark Tippetts,3,2,1
318,423,Governor,Delilah Barrios,2,1,1
318,423,Governor,Jacqueline Abernathy,0,0,0
318,423,Governor,Mark V. Goloby,0,0,0
318,423,Governor,Rejected write-ins,0,0,0
318,423,Governor,Unassigned write-ins,0,0,0
318,423,Lieutenant Governor,Dan Patrick,358,154,193
318,423,Lieutenant Governor,Mike Collier,55,36,18
318,423,Lieutenant Governor,Shanna Steele,8,3,5
318,423,Attorney General,Ken Paxton,355,151,193
318,423,Attorney General,Rochelle Mercedes Garza,51,36,14
318,423,Attorney General,Mark Ash,14,6,8
318,423,Comptroller of Public Accounts,Glenn Hegar,356,152,193
318,423,Comptroller of Public Accounts,Janet T. Dudding,55,38,16
318,423,Comptroller of Public Accounts,V. Alonzo Echavarria-Garza,5,2,3
318,423,Commissioner of the General Land Office,Dawn Buckingham,361,156,194
318,423,Commissioner of the General Land Office,Jay Kleberg,51,35,15
318,423,Commissioner of the General Land Office,"Alfred Molison, Jr.",3,1,2
318,423,Commissioner of the General Land Office,Carrie Evelyn Menger,2,0,2
318,423,Commissioner of the General Land Office,Rejected write-ins,0,0,0
318,423,Commissioner of the General Land Office,Unassigned write-ins,0,0,0
318,423,Commissioner of Agriculture,Sid Miller,365,157,197
318,423,Commissioner of Agriculture,Susan Hays,51,35,15
318,423,Railroad Commissioner,Wayne Christian,351,149,191
318,423,Railroad Commissioner,Luke Warford,56,38,17
318,423,Railroad Commissioner,Jaime Andres Diez,7,3,4
318,423,Railroad Commissioner,Hunter Wayne Crow,3,1,2
318,423,"Justice, Supreme Court, Place 3",Debra Lehrmann,352,151,190
318,423,"Justice, Supreme Court, Place 3",Erin A. Nowell,54,37,16
318,423,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,11,4,7
