political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidatee_name,party code,early_votes,election_votes
Roberts County,,General Election,0,0,4-2.,88,Railroad Commissioner,Wayne Christian,REP,22,47
Roberts County,,General Election,0,0,4-2.,88,Railroad Commissioner,Luke Warford,DEM,0,3
Roberts County,,General Election,0,0,4-2.,88,Railroad Commissioner,Jaime Andres Diez,LIB,0,0
Roberts County,,General Election,0,0,4-2.,88,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0
Roberts County,,General Election,0,0,4-2.,88,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,22,45
Roberts County,,General Election,0,0,4-2.,88,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,0,4
Roberts County,,General Election,0,0,4-2.,88,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,0,0
Roberts County,,General Election,0,0,4-2.,88,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,22,46
Roberts County,,General Election,0,0,4-2.,88,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,0,4
Roberts County,,General Election,0,0,4-2.,88,"Justice, Supreme Court, Place 9",Evan Young,REP,22,46
Roberts County,,General Election,0,0,4-2.,88,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,0,4
Roberts County,,General Election,0,0,4-2.,88,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,22,45
Roberts County,,General Election,0,0,4-2.,88,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,0,5
Roberts County,,General Election,0,0,4-2.,88,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,22,46
Roberts County,,General Election,0,0,4-2.,88,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,0,4
Roberts County,,General Election,0,0,4 - 2 MISD,3,"United States Representative, District No. 13",Ronny Jackson,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,"United States Representative, District No. 13",Kathleen Brown,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Greg Abbott,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Beto O'Rourke,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Mark Tippetts,LIB,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Delilah Barrios,GRN,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Jacqueline Abernathy,,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Mark V Goloby,,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Rejected write-ins,,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Governor,Unassigned write-ins,,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Lieutenant Governor,Dan Patrick,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,Lieutenant Governor,Mike Collier,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Lieutenant Governor,Shanna Steele,LIB,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Attorney General,Ken Paxton,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,Attorney General,Rochelle Mercedes Garza,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Attorney General,Mark Ash,LIB,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Comptroller of Public Accounts,Glenn Hegar,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,Comptroller of Public Accounts,Janet T. Dudding,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,LIB,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of the General Land Office,Dawn Buckingham,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of the General Land Office,Jay Kleberg,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of the General Land Office,"Alfred Molison, Jr.",GRN,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of the General Land Office,Carrie Evelyn Menger,,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of the General Land Office,Rejected write-ins,,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of Agriculture,Sid Miller,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,Commissioner of Agriculture,Susan Hays,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Railroad Commissioner,Wayne Christian,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,Railroad Commissioner,Luke Warford,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Railroad Commissioner,Jaime Andres Diez,LIB,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,Railroad Commissioner,Hunter Wayne Crow,GRN,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Justice, Supreme Court, Place 9",Evan Young,REP,0,1
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,0,0
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,REP,0,2
Roberts County,,General Election,0,0,4 - 2 MISD,3,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,DEM,0,0
Roberts County,,School Board,0,0,4 - 2 MISD,3,MIAMI INDEPENDENT SCHOOL DISTRICT Trustees,Zach McDowell,,0,0
Roberts County,,School Board,0,0,4 - 2 MISD,3,MIAMI INDEPENDENT SCHOOL DISTRICT Trustees,Rusty Early,,0,0
Roberts County,,School Board,0,0,4 - 2 MISD,3,MIAMI INDEPENDENT SCHOOL DISTRICT Trustees,Tyler Rankin,,0,2
Roberts County,,School Board,0,0,4 - 2 MISD,3,MIAMI INDEPENDENT SCHOOL DISTRICT Trustees,Robert C. La Deau,,0,0
Roberts County,,School Board,0,0,4 - 2 MISD,3,MIAMI INDEPENDENT SCHOOL DISTRICT Trustees,Chad Brooks,,0,1
