,,,,,#FormatVersion 1,,,,,,,,
Political Subdivision,Election Date,Election Name,#Provisional Ballots,# Provisional Ballots Counted,#Precinct,Precinct ID,Registered Voters,Contest Title,Choice Name,Total Votes,Absentee Voting Votes,Early Voting Votes,Election Day Voting Votes
Throckmorton,11/22/2022,General,3,3,4006,5,218,Attorney General,Rochelle Mercedes Garza,7,1,2,4
Throckmorton,11/22/2022,General,3,3,4006,5,218,Attorney General,Mark Ash,1,0,0,1
Throckmorton,11/22/2022,General,3,3,4006,5,218,Comptroller of Public Accounts,Glenn Hegar,109,2,38,69
Throckmorton,11/22/2022,General,3,3,4006,5,218,Comptroller of Public Accounts,Janet T. Dudding,6,1,2,3
Throckmorton,11/22/2022,General,3,3,4006,5,218,Comptroller of Public Accounts,V. Alonzo Echevarria-Garza,1,0,0,1
Throckmorton,11/22/2022,General,3,3,4006,5,218,Commissioner of the General Land Office,Dawn Buckingham,110,2,38,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,Commissioner of the General Land Office,Jay Kleberg,7,1,2,4
Throckmorton,11/22/2022,General,3,3,4006,5,218,Commissioner of the General Land Office,"Alfred Molison, Jr.",0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Commissioner of the General Land Office,Rejected write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Commissioner of the General Land Office,Unassigned write-ins,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Commissioner of Agriculture,Sid Miller,110,2,38,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,Commissioner of Agriculture,Susan Hays,8,1,2,5
Throckmorton,11/22/2022,General,3,3,4006,5,218,Railroad Commissioner,Wayne Christian,109,2,38,69
Throckmorton,11/22/2022,General,3,3,4006,5,218,Railroad Commissioner,Luke Warford,7,1,2,4
Throckmorton,11/22/2022,General,3,3,4006,5,218,Railroad Commissioner,Jaime Andres Diez,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,Railroad Commissioner,Hunter Wayne Crow,2,0,0,2
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Justice, Supreme Court, Place 3",Debra Lehrmann,108,2,38,68
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Justice, Supreme Court, Place 3",Erin A. Nowell,8,1,2,5
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,0,0,0,0
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Justice, Supreme Court, Place 5",Rebeca Huddle,111,2,39,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Justice, Supreme Court, Place 5",Amanda Reichek,7,1,2,4
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Justice, Supreme Court, Place 9",Evan Young,111,2,39,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Justice, Supreme Court, Place 9",Julia Maldonado,7,1,2,4
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,110,2,38,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,7,1,2,4
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Judge, Court of Criminal Appeals, Place 6",Jesse F. McClure III,111,2,39,70
Throckmorton,11/22/2022,General,3,3,4006,5,218,"Judge, Court of Criminal Appeals, Place 6",Robert Johnson,7,1,2,4
