political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of the General Land Office,Unassigned write-ins,,0,0
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of Agriculture,Sid Miller,REP,773,289
Bandera County,11/8/2022,General Election,8,1,203,2439,Commissioner of Agriculture,Susan Hays,DEM,214,83
Bandera County,11/8/2022,General Election,8,1,203,2439,Railroad Commissioner,Wayne Christian,REP,762,281
Bandera County,11/8/2022,General Election,8,1,203,2439,Railroad Commissioner,Luke Warford,DEM,194,76
Bandera County,11/8/2022,General Election,8,1,203,2439,Railroad Commissioner,Jaime Andres Diez,LIB,10,10
Bandera County,11/8/2022,General Election,8,1,203,2439,Railroad Commissioner,Hunter Wayne Crow,GRN,15,5
Bandera County,11/8/2022,General Election,8,1,203,2439,"Justice, Supreme Court, Place 3",Debra Lehrmann,REP,767,278
Bandera County,11/8/2022,General Election,8,1,203,2439,"Justice, Supreme Court, Place 3",Erin A. Nowell,DEM,201,81
Bandera County,11/8/2022,General Election,8,1,203,2439,"Justice, Supreme Court, Place 3",Thomas Edward Oxford,LIB,17,14
Bandera County,11/8/2022,General Election,8,1,203,2439,"Justice, Supreme Court, Place 5",Rebeca Huddle,REP,779,286
Bandera County,11/8/2022,General Election,8,1,203,2439,"Justice, Supreme Court, Place 5",Amanda Reichek,DEM,207,85
Bandera County,11/8/2022,General Election,8,1,203,2439,"Justice, Supreme Court, Place 9",Evan Young,REP,778,283
Bandera County,11/8/2022,General Election,8,1,203,2439,"Justice, Supreme Court, Place 9",Julia Maldonado,DEM,206,88
Bandera County,11/8/2022,General Election,8,1,203,2439,"Judge, Court of Criminal Appeals, Place 5",Scott Walker,REP,779,282
Bandera County,11/8/2022,General Election,8,1,203,2439,"Judge, Court of Criminal Appeals, Place 5",Dana Huffman,DEM,206,89
